"","offset","location","condition","realism","response"
"438",0,0.5,17,"real",9
"439",200,0.5,4,"unreal",2
"440",400,0.5,17,"real",7
"441",100,0.5,17,"real",8
"442",0,0.5,4,"unreal",1
"443",400,0,4,"unreal",1
"444",0,0,17,"real",9
"445",400,1,4,"unreal",2
"446",300,1,4,"unreal",1
"447",0,1,4,"unreal",2
"448",100,0,17,"real",8
"449",300,0,4,"unreal",2
"450",200,1,4,"unreal",2
"451",200,0,4,"unreal",2
"452",100,0.5,4,"unreal",8
"453",200,1,4,"unreal",8
"454",200,0.5,17,"real",8
"455",300,1,17,"real",8
"456",300,0.5,17,"real",7
"457",400,0.5,4,"unreal",2
"458",300,0,17,"real",8
"459",0,1,17,"real",9
"460",200,0.5,4,"unreal",2
"461",100,0,4,"unreal",2
"462",100,1,4,"unreal",2
"463",0,1,4,"unreal",2
"464",400,1,4,"unreal",1
"465",300,0,4,"unreal",2
"466",0,0.5,4,"unreal",2
"467",200,0,17,"real",7
"468",400,0,17,"real",7
"469",100,0.5,17,"real",8
"470",100,1,17,"real",9
"471",0,0.5,17,"real",9
"472",200,1,17,"real",8
"473",300,1,4,"unreal",1
"474",400,0,4,"unreal",2
"475",300,0.5,4,"unreal",1
"476",0,0,4,"unreal",2
"477",400,1,17,"real",7
"478",0,0,17,"real",8
"479",400,0.5,17,"real",2
"480",100,0,17,"real",8
"481",400,0.5,17,"real",1
"482",200,0,4,"unreal",1
"483",100,1,4,"unreal",2
"484",400,0,4,"unreal",1
"485",300,0,17,"real",2
"486",200,1,4,"unreal",1
"487",400,0,17,"real",1
"488",300,0.5,4,"unreal",1
"489",200,0.5,4,"unreal",2
"490",100,0.5,17,"real",9
"491",300,1,4,"unreal",1
"492",0,1,4,"unreal",8
"493",100,0,4,"unreal",3
"494",0,0.5,4,"unreal",6
"495",0,0,4,"unreal",7
"496",100,1,17,"real",2
"497",200,0.5,17,"real",3
"498",400,1,17,"real",1
"499",200,1,17,"real",2
"500",300,0.5,17,"real",2
"501",300,1,17,"real",1
