"","offset","condition","response","vision","vibration","audio","signals","realism","cueInfo","cueInfoBasic"
"181","200","15",3,"1","0","2",2,"real","real","real"
"182","100","3",7,"0","0","1",2,"unreal","unreal","unreal"
"183","100","6",8,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"184","300","4",6,"0","1","1",3,"unreal","unreal","unreal"
"185","0","10",8,"1","1","0",2,"unreal","mix_realVision","mixed"
"186","100","11",9,"1","2","0",2,"real","real","real"
"187","200","13",8,"1","1","1",3,"unreal","mix_realVision","mixed"
"188","300","9",7,"1","0","0",1,"real","real","real"
"189","0","2",9,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"190","300","16",6,"1","1","2",3,"unreal","mix_realVision","mixed"
"191","300","12",6,"1","0","1",2,"unreal","mix_realVision","mixed"
"192","100","2",7,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"193","0","1",7,"0","1","0",2,"unreal","unreal","unreal"
"194","400","4",2,"0","1","1",3,"unreal","unreal","unreal"
"195","300","10",6,"1","1","0",2,"unreal","mix_realVision","mixed"
"196","400","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"197","400","16",7,"1","1","2",3,"unreal","mix_realVision","mixed"
"198","200","3",7,"0","0","1",2,"unreal","unreal","unreal"
"199","400","8",7,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"200","300","11",9,"1","2","0",2,"real","real","real"
"201","200","1",3,"0","1","0",2,"unreal","unreal","unreal"
"202","400","13",8,"1","1","1",3,"unreal","mix_realVision","mixed"
"203","0","16",9,"1","1","2",3,"unreal","mix_realVision","mixed"
"204","300","2",2,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"205","300","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"206","0","4",9,"0","1","1",3,"unreal","unreal","unreal"
"207","300","5",3,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"208","0","8",9,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"209","0","11",9,"1","2","0",2,"real","real","real"
"210","0","5",9,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"211","0","7",7,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"212","0","13",9,"1","1","1",3,"unreal","mix_realVision","mixed"
"213","200","4",2,"0","1","1",3,"unreal","unreal","unreal"
"214","100","5",9,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"215","200","0",1,"0","0","0",1,"unreal","unreal","unreal"
"216","400","15",8,"1","0","2",2,"real","real","real"
"217","100","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"218","300","6",1,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"219","100","9",9,"1","0","0",1,"real","real","real"
"220","200","2",3,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"221","200","7",3,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"222","100","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"223","400","11",8,"1","2","0",2,"real","real","real"
"224","400","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"225","400","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"226","300","13",6,"1","1","1",3,"unreal","mix_realVision","mixed"
"227","300","17",8,"1","2","2",3,"real","real","real"
"228","300","3",1,"0","0","1",2,"unreal","unreal","unreal"
"229","100","0",8,"0","0","0",1,"unreal","unreal","unreal"
"230","200","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"231","300","0",1,"0","0","0",1,"unreal","unreal","unreal"
"232","200","5",3,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"233","0","17",9,"1","2","2",3,"real","real","real"
"234","400","3",1,"0","0","1",2,"unreal","unreal","unreal"
"235","0","15",9,"1","0","2",2,"real","real","real"
"236","200","16",7,"1","1","2",3,"unreal","mix_realVision","mixed"
"237","0","6",8,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"238","200","17",8,"1","2","2",3,"real","real","real"
"239","400","10",2,"1","1","0",2,"unreal","mix_realVision","mixed"
"240","100","16",7,"1","1","2",3,"unreal","mix_realVision","mixed"
"241","100","15",8,"1","0","2",2,"real","real","real"
"242","100","1",1,"0","1","0",2,"unreal","unreal","unreal"
"243","300","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"244","200","11",9,"1","2","0",2,"real","real","real"
"245","300","8",3,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"246","200","8",8,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"247","0","9",9,"1","0","0",1,"real","real","real"
"248","0","3",8,"0","0","1",2,"unreal","unreal","unreal"
"249","100","10",7,"1","1","0",2,"unreal","mix_realVision","mixed"
"250","0","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"251","200","6",4,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"252","300","15",3,"1","0","2",2,"real","real","real"
"253","400","0",1,"0","0","0",1,"unreal","unreal","unreal"
"254","200","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"255","100","13",8,"1","1","1",3,"unreal","mix_realVision","mixed"
"256","100","8",9,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"257","400","2",1,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"258","0","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"259","400","1",1,"0","1","0",2,"unreal","unreal","unreal"
"260","100","4",6,"0","1","1",3,"unreal","unreal","unreal"
"261","300","1",5,"0","1","0",2,"unreal","unreal","unreal"
"262","200","10",6,"1","1","0",2,"unreal","mix_realVision","mixed"
"263","400","6",2,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"264","200","9",7,"1","0","0",1,"real","real","real"
"265","400","5",2,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"266","400","17",8,"1","2","2",3,"real","real","real"
"267","400","9",7,"1","0","0",1,"real","real","real"
"268","100","17",9,"1","2","2",3,"real","real","real"
"269","100","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"270","0","0",9,"0","0","0",1,"unreal","unreal","unreal"
"271","0","9",9,"1","0","0",1,"real","real","real"
"272","300","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"273","300","2",2,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"274","400","11",9,"1","2","0",2,"real","real","real"
"275","100","15",8,"1","0","2",2,"real","real","real"
"276","100","1",3,"0","1","0",2,"unreal","unreal","unreal"
"277","100","0",5,"0","0","0",1,"unreal","unreal","unreal"
"278","100","5",8,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"279","400","0",1,"0","0","0",1,"unreal","unreal","unreal"
"280","400","4",2,"0","1","1",3,"unreal","unreal","unreal"
"281","400","6",4,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"282","300","13",7,"1","1","1",3,"unreal","mix_realVision","mixed"
"283","0","6",9,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"284","200","3",7,"0","0","1",2,"unreal","unreal","unreal"
"285","0","1",8,"0","1","0",2,"unreal","unreal","unreal"
"286","200","1",3,"0","1","0",2,"unreal","unreal","unreal"
"287","400","7",2,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"288","100","10",8,"1","1","0",2,"unreal","mix_realVision","mixed"
"289","300","16",9,"1","1","2",3,"unreal","mix_realVision","mixed"
"290","0","7",9,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"291","300","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"292","200","13",9,"1","1","1",3,"unreal","mix_realVision","mixed"
"293","200","7",2,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"294","100","8",9,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"295","0","2",9,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"296","0","0",9,"0","0","0",1,"unreal","unreal","unreal"
"297","0","3",9,"0","0","1",2,"unreal","unreal","unreal"
"298","100","17",9,"1","2","2",3,"real","real","real"
"299","100","3",3,"0","0","1",2,"unreal","unreal","unreal"
"300","200","5",4,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"301","400","12",6,"1","0","1",2,"unreal","mix_realVision","mixed"
"302","400","13",7,"1","1","1",3,"unreal","mix_realVision","mixed"
"303","400","17",4,"1","2","2",3,"real","real","real"
"304","0","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"305","200","8",2,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"306","300","11",8,"1","2","0",2,"real","real","real"
"307","0","10",7,"1","1","0",2,"unreal","mix_realVision","mixed"
"308","300","7",4,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"309","400","8",1,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"310","300","17",9,"1","2","2",3,"real","real","real"
"311","100","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"312","300","9",6,"1","0","0",1,"real","real","real"
"313","300","10",7,"1","1","0",2,"unreal","mix_realVision","mixed"
"314","200","0",2,"0","0","0",1,"unreal","unreal","unreal"
"315","400","9",7,"1","0","0",1,"real","real","real"
"316","200","12",8,"1","0","1",2,"unreal","mix_realVision","mixed"
"317","100","16",8,"1","1","2",3,"unreal","mix_realVision","mixed"
"318","200","14",9,"1","2","1",3,"unreal","mix_realVision","mixed"
"319","200","11",9,"1","2","0",2,"real","real","real"
"320","0","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"321","200","15",6,"1","0","2",2,"real","real","real"
"322","100","4",6,"0","1","1",3,"unreal","unreal","unreal"
"323","400","14",8,"1","2","1",3,"unreal","mix_realVision","mixed"
"324","0","8",9,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"325","100","11",9,"1","2","0",2,"real","real","real"
"326","300","15",8,"1","0","2",2,"real","real","real"
"327","400","1",1,"0","1","0",2,"unreal","unreal","unreal"
"328","100","13",9,"1","1","1",3,"unreal","mix_realVision","mixed"
"329","0","13",9,"1","1","1",3,"unreal","mix_realVision","mixed"
"330","100","2",7,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"331","200","4",2,"0","1","1",3,"unreal","unreal","unreal"
"332","0","15",9,"1","0","2",2,"real","real","real"
"333","0","4",7,"0","1","1",3,"unreal","unreal","unreal"
"334","100","7",7,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"335","400","15",7,"1","0","2",2,"real","real","real"
"336","0","16",8,"1","1","2",3,"unreal","mix_realVision","mixed"
"337","200","10",2,"1","1","0",2,"unreal","mix_realVision","mixed"
"338","300","4",1,"0","1","1",3,"unreal","unreal","unreal"
"339","200","6",3,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"340","300","6",3,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"341","200","9",7,"1","0","0",1,"real","real","real"
"342","200","2",6,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"343","300","1",1,"0","1","0",2,"unreal","unreal","unreal"
"344","0","11",9,"1","2","0",2,"real","real","real"
"345","400","3",1,"0","0","1",2,"unreal","unreal","unreal"
"346","400","5",7,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"347","300","0",1,"0","0","0",1,"unreal","unreal","unreal"
"348","400","16",7,"1","1","2",3,"unreal","mix_realVision","mixed"
"349","200","16",8,"1","1","2",3,"unreal","mix_realVision","mixed"
"350","100","12",9,"1","0","1",2,"unreal","mix_realVision","mixed"
"351","300","8",8,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"352","400","2",1,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"353","300","3",6,"0","0","1",2,"unreal","unreal","unreal"
"354","400","10",6,"1","1","0",2,"unreal","mix_realVision","mixed"
"355","200","17",9,"1","2","2",3,"real","real","real"
"356","0","17",9,"1","2","2",3,"real","real","real"
"357","300","5",2,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"358","100","9",9,"1","0","0",1,"real","real","real"
"359","100","6",6,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"360","0","5",9,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"361","0","5",6,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"362","200","4",6,"0","1","1",3,"unreal","unreal","unreal"
"363","100","4",7,"0","1","1",3,"unreal","unreal","unreal"
"364","100","3",5,"0","0","1",2,"unreal","unreal","unreal"
"365","0","17",9,"1","2","2",3,"real","real","real"
"366","300","11",5,"1","2","0",2,"real","real","real"
"367","0","2",7,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"368","300","14",5,"1","2","1",3,"unreal","mix_realVision","mixed"
"369","100","11",6,"1","2","0",2,"real","real","real"
"370","400","14",2,"1","2","1",3,"unreal","mix_realVision","mixed"
"371","0","1",7,"0","1","0",2,"unreal","unreal","unreal"
"372","200","13",3,"1","1","1",3,"unreal","mix_realVision","mixed"
"373","0","6",9,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"374","400","12",2,"1","0","1",2,"unreal","mix_realVision","mixed"
"375","200","10",4,"1","1","0",2,"unreal","mix_realVision","mixed"
"376","200","17",8,"1","2","2",3,"real","real","real"
"377","400","11",3,"1","2","0",2,"real","real","real"
"378","0","14",6,"1","2","1",3,"unreal","mix_realVision","mixed"
"379","300","13",1,"1","1","1",3,"unreal","mix_realVision","mixed"
"380","400","5",1,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"381","300","0",4,"0","0","0",1,"unreal","unreal","unreal"
"382","0","3",8,"0","0","1",2,"unreal","unreal","unreal"
"383","0","0",9,"0","0","0",1,"unreal","unreal","unreal"
"384","100","15",9,"1","0","2",2,"real","real","real"
"385","200","1",6,"0","1","0",2,"unreal","unreal","unreal"
"386","100","6",8,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"387","300","2",4,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"388","0","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"389","200","15",5,"1","0","2",2,"real","real","real"
"390","400","4",3,"0","1","1",3,"unreal","unreal","unreal"
"391","400","3",2,"0","0","1",2,"unreal","unreal","unreal"
"392","300","4",1,"0","1","1",3,"unreal","unreal","unreal"
"393","100","16",9,"1","1","2",3,"unreal","mix_realVision","mixed"
"394","300","7",8,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"395","0","4",5,"0","1","1",3,"unreal","unreal","unreal"
"396","0","15",9,"1","0","2",2,"real","real","real"
"397","400","2",2,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"398","400","10",7,"1","1","0",2,"unreal","mix_realVision","mixed"
"399","0","12",7,"1","0","1",2,"unreal","mix_realVision","mixed"
"400","200","2",6,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"401","200","3",4,"0","0","1",2,"unreal","unreal","unreal"
"402","200","5",3,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"403","300","16",7,"1","1","2",3,"unreal","mix_realVision","mixed"
"404","0","8",7,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"405","100","2",5,"0","2","0",2,"unreal","mix_unrealVision","mixed"
"406","400","7",3,"0","1","2",3,"unreal","mix_unrealVision","mixed"
"407","200","0",3,"0","0","0",1,"unreal","unreal","unreal"
"408","200","8",5,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"409","300","15",8,"1","0","2",2,"real","real","real"
"410","400","13",7,"1","1","1",3,"unreal","mix_realVision","mixed"
"411","300","10",6,"1","1","0",2,"unreal","mix_realVision","mixed"
"412","300","5",5,"0","2","1",3,"unreal","mix_unrealVision","mixed"
"413","0","13",8,"1","1","1",3,"unreal","mix_realVision","mixed"
"414","200","6",5,"0","0","2",2,"unreal","mix_unrealVision","mixed"
"415","400","8",4,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"416","400","15",6,"1","0","2",2,"real","real","real"
"417","300","3",3,"0","0","1",2,"unreal","unreal","unreal"
"418","300","8",2,"0","2","2",3,"unreal","mix_unrealVision","mixed"
"419","100","12",6,"1","0","1",2,"unreal","mix_realVision","mixed"
"420","0","9",7,"1","0","0",1,"real","real","real"
"421","100","14",6,"1","2","1",3,"unreal","mix_realVision","mixed"
