trialNum,visualBlock,feedbackBlock,offset,response,responseTime
1,1,7,100,2,2799.39
2,1,7,200,2,2224.7
3,1,7,600,2,4818.38
4,1,7,300,2,1390.18
5,1,7,400,2,5726.78
6,1,7,500,2,6477.61
7,1,7,600,1,454.526
8,1,7,200,2,28191.6
9,1,7,300,2,698.798
10,1,7,100,2,835.402
11,1,7,300,2,944.36
12,1,7,400,2,1282.1
13,1,7,0,2,5716.63
14,1,7,100,2,492.629
15,1,7,0,2,3601.59
16,1,7,600,2,1643.01
17,1,7,300,2,455.034
18,1,7,0,2,1386.18
19,1,7,0,2,483.782
20,1,7,600,1,2752.53
21,1,7,500,2,1409.44
22,1,7,0,2,1358.88
23,1,7,100,2,1163.43
24,1,7,200,2,379.492
25,1,7,200,2,479.489
26,1,7,300,1,3089.67
27,1,7,400,1,307.601
28,1,7,500,1,86.0432
29,1,7,500,1,878.695
30,1,7,100,2,396.683
31,1,7,0,2,525.373
32,1,7,300,1,357.371
33,1,7,200,1,999.396
34,1,7,600,1,613.258
35,1,7,500,1,915.937
36,1,7,100,2,442.016
37,1,7,600,1,878.227
38,1,7,400,1,1830.08
39,1,7,400,1,309.013
40,1,7,200,1,77.7332
41,1,7,500,1,280.061
42,1,7,400,1,247.48
43,1,3,400,1,9299.49
44,1,3,600,1,331.443
45,1,3,300,1,1197.78
46,1,3,100,2,996.861
47,1,3,400,1,244.925
48,1,3,200,1,762.432
49,1,3,600,1,198.84
50,1,3,300,1,300.047
51,1,3,200,1,787.575
52,1,3,0,1,364.61
53,1,3,400,1,69.7296
54,1,3,100,2,205.284
55,1,3,300,1,168.57
56,1,3,300,1,54.2379
57,1,3,500,1,56.1981
58,1,3,200,2,1237.89
59,1,3,100,2,452.679
60,1,3,500,1,10.8359
61,1,3,600,1,16.4398
62,1,3,400,1,193.84
63,1,3,300,1,169.478
64,1,3,400,1,78.5566
65,1,3,0,2,238.773
66,1,3,500,1,215.523
67,1,3,0,2,183.63
68,1,3,600,1,219.252
69,1,3,100,2,159.92
70,1,3,100,2,1260.47
71,1,3,600,1,1104.48
72,1,3,200,2,502.734
73,1,3,400,1,138.023
74,1,3,0,2,858.072
75,1,3,500,1,178.112
76,1,3,500,1,929.723
77,1,3,500,1,190.039
78,1,3,100,2,561.329
79,1,3,0,2,674.209
80,1,3,200,1,1796.53
81,1,3,200,1,675.501
82,1,3,600,1,162.567
83,1,3,0,2,360.843
84,1,3,300,1,212.28
85,1,4,200,2,3316.3
86,1,4,0,2,266.739
87,1,4,0,2,217.991
88,1,4,0,2,700.857
89,1,4,500,1,378.114
90,1,4,100,1,407.835
91,1,4,300,1,361.165
92,1,4,0,2,299.625
93,1,4,300,1,377.543
94,1,4,100,2,426.594
95,1,4,200,2,2777.17
96,1,4,100,2,359.711
97,1,4,400,1,311.019
98,1,4,100,2,308.917
99,1,4,500,1,326.845
100,1,4,0,2,448.453
101,1,4,300,2,394.183
102,1,4,400,2,343.372
103,1,4,600,2,376.139
104,1,4,500,1,857.922
105,1,4,400,1,274.393
106,1,4,0,2,498.331
107,1,4,400,2,410.713
108,1,4,300,2,342.665
109,1,4,600,1,1292.59
110,1,4,500,1,307.563
111,1,4,500,1,824.529
112,1,4,400,1,275.389
113,1,4,400,1,1342.24
114,1,4,600,1,325.59
115,1,4,600,1,274.001
116,1,4,300,1,124.55
117,1,4,200,1,725.605
118,1,4,200,2,960.265
119,1,4,100,2,343.316
120,1,4,600,1,927.577
121,1,4,200,1,526.298
