trialNum,visualBlock,feedbackBlock,offset,response,responseTime
1,1,2,100,2,2532.8
2,1,2,100,2,1528.8
3,1,2,100,2,1011.58
4,1,2,500,1,4960.44
5,1,2,400,1,1943.11
6,1,2,600,1,926.917
7,1,2,100,2,1008.82
8,1,2,600,1,527.919
9,1,2,500,1,658.375
10,1,2,0,2,964.738
11,1,2,300,1,778.175
12,1,2,300,1,677.22
13,1,2,400,1,494.25
14,1,2,100,2,925.64
15,1,2,400,1,343.996
16,1,2,0,2,767.205
17,1,2,500,1,595.845
18,1,2,400,1,2292.24
19,1,2,200,2,1076.17
20,1,2,300,1,409.845
21,1,2,600,1,525.673
22,1,2,200,1,659.165
23,1,2,200,1,426.526
24,1,2,500,1,359.552
25,1,2,500,1,391.25
26,1,2,200,1,490.76
27,1,2,600,1,426.825
28,1,2,400,1,340.443
29,1,2,0,2,598.568
30,1,2,400,1,294.131
31,1,2,0,2,1048.79
32,1,2,300,1,294.302
33,1,2,600,1,1009.81
34,1,2,0,2,579.545
35,1,2,300,1,311.256
36,1,2,600,1,1225.54
37,1,2,200,1,291.085
38,1,2,300,1,159.691
39,1,2,200,2,476.326
40,1,2,500,1,342.856
41,1,2,0,2,482.39
42,1,2,100,2,1044.79
43,1,4,100,2,4815.69
44,1,4,600,1,577.714
45,1,4,100,1,1107.2
46,1,4,500,1,327.31
47,1,4,500,1,457.732
48,1,4,600,1,341.435
49,1,4,0,2,1330.36
50,1,4,300,1,344.625
51,1,4,300,1,275.533
52,1,4,0,2,1066.27
53,1,4,400,1,211.653
54,1,4,600,1,941.453
55,1,4,400,1,306.433
56,1,4,0,2,432.101
57,1,4,100,2,661.654
58,1,4,400,1,343.569
59,1,4,200,1,1058.72
60,1,4,200,1,376.097
61,1,4,100,2,1160.38
62,1,4,100,2,643.654
63,1,4,0,2,717.506
64,1,4,500,1,227.681
65,1,4,200,1,874.701
66,1,4,600,1,292.915
67,1,4,400,1,293.399
68,1,4,200,1,724.724
69,1,4,500,1,810.309
70,1,4,300,1,507.84
71,1,4,300,1,342.178
72,1,4,300,1,425.861
73,1,4,400,1,276.247
74,1,4,100,2,1291.45
75,1,4,300,1,794.16
76,1,4,600,1,309.154
77,1,4,600,1,307.582
78,1,4,200,1,723.983
79,1,4,0,2,649.923
80,1,4,200,1,377.39
81,1,4,500,1,1060.94
82,1,4,0,2,797.5
83,1,4,500,1,245.162
84,1,4,400,1,257.399
85,1,5,0,2,3022.88
86,1,5,600,1,1866.86
87,1,5,200,1,856.415
88,1,5,100,1,3048.08
89,1,5,200,1,606.322
90,1,5,200,1,565.766
91,1,5,0,2,941.284
92,1,5,200,1,716.752
93,1,5,500,1,776.333
94,1,5,400,1,601.575
95,1,5,500,1,631.169
96,1,5,0,2,719.375
97,1,5,500,1,266.731
98,1,5,300,1,578.482
99,1,5,100,2,642.992
100,1,5,600,1,706.193
101,1,5,400,1,344.915
102,1,5,0,2,741.808
103,1,5,600,1,436.277
104,1,5,100,2,555.134
105,1,5,500,1,358.613
106,1,5,600,1,445.648
107,1,5,0,2,526.342
108,1,5,300,1,459.339
109,1,5,400,1,468.188
110,1,5,300,1,455.025
111,1,5,400,1,530.086
112,1,5,400,1,523.873
113,1,5,100,2,499.861
114,1,5,200,1,582.58
115,1,5,600,1,586.976
116,1,5,500,1,343.122
117,1,5,400,1,672.907
118,1,5,500,1,332.231
119,1,5,600,1,382.495
120,1,5,300,1,501.217
121,1,5,0,2,569.086
122,1,5,200,1,3458.33
123,1,5,100,2,846.524
124,1,5,100,2,942.695
125,1,5,300,1,563.407
126,1,5,300,1,566.436
127,1,1,500,1,916.198
128,1,1,0,2,597.763
129,1,1,200,1,644.406
130,1,1,600,1,526.487
131,1,1,400,1,423.841
132,1,1,100,2,808.724
133,1,1,100,2,3227.37
134,1,1,500,1,426.653
135,1,1,300,1,375.029
136,1,1,400,1,225.316
137,1,1,0,2,532.224
138,1,1,100,2,2710.63
139,1,1,400,1,294.127
140,1,1,500,1,224.945
141,1,1,400,1,208.283
142,1,1,600,1,325.05
143,1,1,200,1,507.317
144,1,1,300,1,326.093
145,1,1,300,1,259.445
146,1,1,600,1,175.765
147,1,1,600,1,157.641
148,1,1,300,1,157.546
149,1,1,500,1,325.692
150,1,1,100,2,708.306
151,1,1,0,2,533.28
152,1,1,600,1,2494.28
153,1,1,300,2,3807.16
154,1,1,0,2,299.543
155,1,1,500,1,110.633
156,1,1,600,1,324.794
157,1,1,300,1,2073.94
158,1,1,200,2,2425.93
159,1,1,400,1,1727.94
160,1,1,500,1,341.72
161,1,1,0,2,565.106
162,1,1,100,2,910.921
163,1,1,400,1,194.205
164,1,1,200,1,358.564
165,1,1,0,2,533.614
166,1,1,200,1,277.331
167,1,1,100,1,926.672
168,1,1,200,1,443.492
169,1,6,400,1,3232.9
170,1,6,0,2,1498.96
171,1,6,300,1,344.095
172,1,6,100,1,692.939
173,1,6,500,1,543.537
174,1,6,300,1,441.356
175,1,6,500,1,275.096
176,1,6,100,2,691.735
177,1,6,300,1,326.993
178,1,6,0,2,549.478
179,1,6,500,1,527.962
180,1,6,200,1,308.401
181,1,6,0,2,749.867
182,1,6,500,1,643.995
183,1,6,200,2,474.501
184,1,6,400,1,176.481
185,1,6,600,1,125.74
186,1,6,400,1,190.296
187,1,6,400,1,142.144
188,1,6,600,1,108.436
189,1,6,400,1,274.144
190,1,6,0,2,482.384
191,1,6,300,1,177.293
192,1,6,100,2,592.904
193,1,6,600,1,2426.88
194,1,6,100,2,473.704
195,1,6,100,2,410.943
196,1,6,400,1,144.982
197,1,6,200,1,1741.93
198,1,6,300,1,592.069
199,1,6,100,2,2292.81
200,1,6,300,1,444.653
201,1,6,200,1,1093.04
202,1,6,600,1,209.559
203,1,6,600,1,340.597
204,1,6,200,1,1806.65
205,1,6,200,1,492.889
206,1,6,600,1,259.989
207,1,6,500,1,423.561
208,1,6,0,2,565.18
209,1,6,500,1,561.486
210,1,6,0,2,597.784
211,1,8,500,1,1316.2
212,1,8,200,1,1351.7
213,1,8,300,1,648.29
214,1,8,600,1,403.507
215,1,8,500,1,378.333
216,1,8,100,1,482.408
217,1,8,500,1,531.624
218,1,8,0,2,778.217
219,1,8,0,2,767.316
220,1,8,0,2,672.629
221,1,8,600,1,307.279
222,1,8,300,1,345.61
223,1,8,300,1,335.088
224,1,8,500,1,321.661
225,1,8,100,2,963.743
226,1,8,300,1,377.911
227,1,8,100,2,435.358
228,1,8,200,1,345.63
229,1,8,0,2,593.503
230,1,8,500,1,403.719
231,1,8,200,2,1540.64
232,1,8,400,1,276.834
233,1,8,400,1,394.031
234,1,8,200,2,1109.82
235,1,8,400,1,463.666
236,1,8,300,2,1616.07
237,1,8,400,1,287.918
238,1,8,400,1,1350.84
239,1,8,200,1,816.422
240,1,8,300,1,340.925
241,1,8,500,1,520.271
242,1,8,400,1,304.714
243,1,8,0,2,417.782
244,1,8,100,2,484.95
245,1,8,600,1,235.349
246,1,8,200,2,2013.73
247,1,8,600,1,361.158
248,1,8,600,1,335.567
249,1,8,600,1,315.008
250,1,8,0,2,493.49
251,1,8,100,2,813.74
252,1,8,100,2,616.856
253,1,3,0,2,2689.41
254,1,3,200,1,481.416
255,1,3,500,2,1455.27
256,1,3,300,1,454.785
257,1,3,600,1,404.261
258,1,3,200,1,282.508
259,1,3,300,1,415.292
260,1,3,400,1,379.737
261,1,3,0,2,876.839
262,1,3,0,2,699.626
263,1,3,0,2,702.544
264,1,3,400,1,449.226
265,1,3,200,1,1330.87
266,1,3,500,1,465.682
267,1,3,300,1,527.983
268,1,3,0,2,560.278
269,1,3,300,1,352.252
270,1,3,600,1,422.347
271,1,3,100,1,3790.25
272,1,3,500,1,698.294
273,1,3,100,2,1015.9
274,1,3,500,1,521.567
275,1,3,300,1,552.341
276,1,3,100,1,991.432
277,1,3,600,1,447.641
278,1,3,600,1,547.835
279,1,3,200,1,670.028
280,1,3,100,2,1420.9
281,1,3,300,1,486.74
282,1,3,200,1,1430.16
283,1,3,400,1,440.746
284,1,3,400,1,493.623
285,1,3,500,1,585.937
286,1,3,200,2,1261.5
287,1,3,400,2,1277.65
288,1,3,100,1,1355.84
289,1,3,100,1,1379.62
290,1,3,500,1,2441.27
291,1,3,600,1,418.949
292,1,3,400,1,1471.25
293,1,3,600,1,637.061
294,1,3,0,2,1196.93
295,1,7,200,1,1182.8
296,1,7,400,1,402.736
297,1,7,500,1,512.107
298,1,7,400,1,365.532
299,1,7,100,2,565.495
300,1,7,200,2,612.239
301,1,7,200,1,512.509
302,1,7,600,1,898.686
303,1,7,600,1,227.232
304,1,7,300,1,635.404
305,1,7,500,1,1084.7
306,1,7,600,1,275.623
307,1,7,300,1,489.022
308,1,7,300,1,576.877
309,1,7,0,2,454.808
310,1,7,100,2,379.983
311,1,7,100,2,299.362
312,1,7,600,1,291.574
313,1,7,0,2,512.59
314,1,7,400,2,1703.09
315,1,7,100,2,446.88
316,1,7,0,2,477.849
317,1,7,300,2,1230.16
318,1,7,100,2,584.583
319,1,7,500,1,240.164
320,1,7,500,1,377.241
321,1,7,0,2,739.545
322,1,7,500,1,364.735
323,1,7,0,2,440.416
324,1,7,0,2,388.134
325,1,7,300,1,946.307
326,1,7,200,1,604.319
327,1,7,100,1,725.13
328,1,7,300,1,396.969
329,1,7,200,1,448.045
330,1,7,500,1,322.596
331,1,7,200,1,478.946
332,1,7,400,1,306.594
333,1,7,600,1,340.709
334,1,7,400,1,333.34
335,1,7,600,1,171.664
336,1,7,400,1,322.437
