trialNum,visualBlock,feedbackBlock,offset,response,responseTime
1,1,7,600,1,6366.61
2,1,7,100,2,2302.5
3,1,7,400,1,2525.34
4,1,7,200,2,4359.19
5,1,7,400,1,3393.26
6,1,7,0,2,2438.31
7,1,7,500,1,831.49
8,1,7,300,2,1854.81
9,1,7,400,1,728.848
10,1,7,300,2,2806.42
11,1,7,0,2,1823.88
12,1,7,400,1,987.642
13,1,7,200,1,974.809
14,1,7,100,2,1048.7
15,1,7,300,1,958.396
16,1,7,0,2,1000.35
17,1,7,0,2,3184.51
18,1,7,0,2,1554.85
19,1,7,500,1,873.996
20,1,7,100,2,4024.8
21,1,7,600,1,915.354
22,1,7,600,1,472.382
23,1,7,200,2,1576.88
24,1,7,600,1,2295.06
25,1,7,400,1,583.675
26,1,7,600,1,1102.93
27,1,7,600,1,1020.55
28,1,7,400,1,950.424
29,1,7,500,1,1578.11
30,1,7,200,1,823.641
31,1,7,300,1,1313.38
32,1,7,500,1,1062.89
33,1,7,300,1,2276.4
34,1,7,100,2,1765.76
35,1,7,100,2,1650.09
36,1,7,200,1,2159.74
37,1,7,500,1,2445.71
38,1,7,300,1,1564.36
39,1,7,200,1,1173.75
40,1,7,500,1,742.973
41,1,7,100,2,453.507
42,1,7,0,2,463.095
43,1,8,0,2,2172.99
44,1,8,300,1,1013.1
45,1,8,200,1,1931.55
46,1,8,200,1,1878.3
47,1,8,600,1,552.977
48,1,8,100,2,705.84
49,1,8,100,2,638.618
50,1,8,500,1,545.248
51,1,8,200,1,1472.58
52,1,8,600,1,347.58
53,1,8,400,1,1107.96
54,1,8,0,2,409.215
55,1,8,300,1,1031.98
56,1,8,500,1,301.678
57,1,8,500,1,547.282
58,1,8,600,1,885.294
59,1,8,500,1,310.728
60,1,8,400,1,304.468
61,1,8,300,1,1495.78
62,1,8,600,1,344.536
63,1,8,200,2,836.041
64,1,8,500,1,1551.02
65,1,8,200,2,1525.45
66,1,8,100,2,641.309
67,1,8,0,2,371.875
68,1,8,0,2,239.544
69,1,8,500,1,219.253
70,1,8,100,2,550.005
71,1,8,600,1,1687.41
72,1,8,400,1,1669.35
73,1,8,0,2,343.335
74,1,8,600,1,528.114
75,1,8,0,2,1093.62
76,1,8,200,2,846.165
77,1,8,100,2,645.079
78,1,8,300,1,227.456
79,1,8,400,2,2465.22
80,1,8,400,1,1571.45
81,1,8,400,1,2236.58
