trialNum,visualBlock,feedbackBlock,offset,response,responseTime
1,1,7,500,2,4383.19
2,1,7,200,2,3819.75
3,1,7,100,2,2612.31
4,1,7,400,1,1921.37
5,1,7,400,1,1526.72
6,1,7,0,2,1970.01
7,1,7,400,1,1427.73
8,1,7,200,1,2008.96
9,1,7,100,1,3259.8
10,1,7,0,2,2284.73
11,1,7,300,1,1233.98
12,1,7,600,1,1112.43
13,1,7,300,1,1978.31
14,1,7,100,2,2706.38
15,1,7,300,1,1919.37
16,1,7,200,1,1813.18
17,1,7,400,1,1021.5
18,1,7,100,1,1862.0
19,1,7,600,1,2538.75
20,1,7,100,2,2337.7
21,1,7,300,1,1489.28
22,1,7,200,1,1989.32
23,1,7,500,1,1428.02
24,1,7,500,1,1550.89
25,1,7,200,2,2234.14
26,1,7,500,1,2208.61
27,1,7,600,1,1991.53
28,1,7,0,2,2984.57
29,1,7,300,1,1579.84
30,1,7,300,1,1546.89
31,1,7,200,1,1043.22
32,1,7,0,2,1170.88
33,1,7,400,1,1320.49
34,1,7,100,2,1685.55
35,1,7,500,1,2221.22
36,1,7,600,1,1609.04
37,1,7,0,2,2975.24
38,1,7,500,1,2801.39
39,1,7,600,1,5444.6
40,1,7,400,2,3088.86
41,1,7,0,2,991.516
42,1,7,600,1,2209.5
43,1,8,500,2,4066.26
44,1,8,300,2,2207.7
45,1,8,400,2,1498.76
46,1,8,600,2,1216.97
47,1,8,0,2,1391.86
48,1,8,0,2,1165.7
49,1,8,0,2,1196.93
50,1,8,200,2,2969.28
51,1,8,300,1,976.481
52,1,8,400,1,973.987
53,1,8,200,1,3713.18
54,1,8,500,1,794.915
55,1,8,300,1,1027.46
56,1,8,100,2,1025.66
57,1,8,400,2,3113.57
58,1,8,100,2,1338.99
59,1,8,0,2,1187.91
60,1,8,200,2,1151.2
61,1,8,200,2,2053.67
62,1,8,500,2,4700.62
63,1,8,400,2,1557.52
64,1,8,400,1,2479.25
65,1,8,600,1,3041.09
66,1,8,600,1,1042.96
67,1,8,500,1,1994.12
68,1,8,0,2,948.515
69,1,8,600,2,2691.74
70,1,8,600,1,1446.6
71,1,8,300,1,1021.99
72,1,8,300,1,1379.76
73,1,8,0,2,973.181
74,1,8,500,1,1855.26
75,1,8,300,1,931.114
76,1,8,100,1,3342.56
77,1,8,400,1,773.843
78,1,8,200,1,2022.54
79,1,8,200,2,1548.61
80,1,8,600,2,6029.63
81,1,8,100,2,1040.16
82,1,8,100,2,990.733
83,1,8,100,2,915.253
84,1,8,500,1,857.393
85,1,5,0,2,1156.61
86,1,5,100,2,1853.14
87,1,5,400,1,925.413
88,1,5,400,2,3571.27
89,1,5,400,2,5690.54
90,1,5,300,1,1518.79
91,1,5,500,1,649.081
92,1,5,500,1,887.974
93,1,5,600,1,1690.85
94,1,5,100,2,866.105
95,1,5,600,1,734.941
96,1,5,600,1,847.981
97,1,5,300,1,768.769
98,1,5,300,1,928.937
99,1,5,300,1,803.355
100,1,5,0,2,1110.83
101,1,5,0,2,856.286
102,1,5,200,2,1388.79
103,1,5,500,1,831.734
104,1,5,600,1,582.834
105,1,5,100,2,751.596
106,1,5,600,2,2403.3
107,1,5,100,2,862.167
108,1,5,500,2,3393.23
109,1,5,0,2,740.568
110,1,5,100,2,904.895
111,1,5,600,1,850.896
112,1,5,300,1,625.058
113,1,5,100,2,1656.84
114,1,5,400,2,962.271
115,1,5,400,2,1134.6
116,1,5,500,1,802.722
117,1,5,200,2,1737.9
118,1,5,200,2,2043.01
119,1,5,0,2,902.569
120,1,5,400,1,2248.88
