trialNum,visualBlock,feedbackBlock,offset,response,responseTime
1,1,3,500,1,6166.04
2,1,3,400,2,3032.51
3,1,3,0,2,1633.04
4,1,3,600,1,1442.98
5,1,3,600,1,976.3
6,1,3,600,1,556.822
7,1,3,300,1,640.591
8,1,3,300,1,1243.82
9,1,3,400,1,716.042
10,1,3,200,2,1355.39
11,1,3,600,1,2451.52
12,1,3,500,1,1530.6
13,1,3,500,1,713.491
14,1,3,100,2,810.272
15,1,3,200,2,1715.93
16,1,3,200,2,1144.23
17,1,3,100,2,865.422
18,1,3,0,2,837.481
19,1,3,600,1,341.883
20,1,3,500,1,384.676
21,1,3,100,2,584.806
22,1,3,0,2,702.53
23,1,3,300,1,497.288
24,1,3,200,1,1776.28
25,1,3,200,1,897.823
26,1,3,100,2,536.228
27,1,3,300,2,1965.25
28,1,3,100,2,969.391
29,1,3,300,2,1214.42
30,1,3,500,1,428.099
31,1,3,300,1,517.547
32,1,3,0,2,644.355
33,1,3,500,1,518.941
34,1,3,600,1,1547.43
35,1,3,400,1,514.069
36,1,3,400,1,962.411
37,1,3,400,1,635.307
38,1,3,200,2,1317.44
39,1,3,0,2,558.321
40,1,3,100,2,778.837
41,1,3,0,2,500.34
42,1,3,400,1,439.103
43,1,7,0,2,1989.63
44,1,7,200,1,415.771
45,1,7,0,2,528.959
46,1,7,400,1,472.226
47,1,7,100,2,780.149
48,1,7,500,1,490.169
49,1,7,100,2,579.553
50,1,7,200,2,819.759
51,1,7,500,1,313.754
52,1,7,200,2,698.631
53,1,7,300,1,307.839
54,1,7,300,1,1933.1
55,1,7,400,1,848.571
56,1,7,300,1,504.872
57,1,7,300,1,457.869
58,1,7,400,1,355.043
59,1,7,400,1,352.592
60,1,7,500,1,434.917
61,1,7,600,1,391.39
62,1,7,400,1,2258.46
63,1,7,600,1,456.092
64,1,7,500,1,494.569
65,1,7,500,1,480.146
66,1,7,600,1,361.961
67,1,7,400,1,368.585
68,1,7,200,1,557.069
69,1,7,100,1,543.456
70,1,7,600,1,455.059
71,1,7,200,2,1602.0
72,1,7,0,2,432.699
73,1,7,0,2,389.216
74,1,7,100,1,928.695
75,1,7,600,1,316.778
76,1,7,200,2,1136.73
77,1,7,600,1,214.715
78,1,7,300,1,349.786
79,1,7,0,2,706.691
80,1,7,100,2,748.617
81,1,7,300,2,451.248
82,1,7,500,2,1566.35
83,1,7,100,2,460.973
84,1,7,0,2,315.903
85,1,6,0,2,3906.33
86,1,6,600,1,1077.35
87,1,6,100,2,507.871
88,1,6,500,1,527.103
89,1,6,600,1,975.056
90,1,6,0,2,413.566
91,1,6,0,2,351.331
92,1,6,300,1,344.837
93,1,6,200,1,609.008
94,1,6,300,2,1493.27
95,1,6,300,1,276.13
96,1,6,200,1,443.015
97,1,6,300,1,293.046
98,1,6,500,1,259.785
99,1,6,0,2,264.37
100,1,6,400,1,1778.39
101,1,6,500,1,292.33
102,1,6,400,2,775.433
103,1,6,100,2,342.101
104,1,6,600,1,227.661
105,1,6,0,2,613.591
106,1,6,200,2,678.228
107,1,6,300,1,976.5
108,1,6,400,2,609.877
109,1,6,600,1,1092.01
110,1,6,500,1,357.906
111,1,6,100,1,607.786
112,1,6,200,2,1877.29
113,1,6,600,1,93.6442
114,1,6,400,1,656.762
115,1,6,100,2,458.679
116,1,6,100,2,527.744
117,1,6,100,2,193.733
118,1,6,300,2,444.217
119,1,6,400,2,625.347
120,1,6,600,2,559.116
121,1,6,0,2,516.115
122,1,6,200,2,594.64
123,1,6,500,1,543.232
124,1,6,500,1,325.088
125,1,6,200,2,440.929
126,1,6,400,2,443.744
127,1,8,0,2,1773.56
128,1,8,600,1,271.371
129,1,8,500,1,372.398
130,1,8,100,1,365.448
131,1,8,400,1,294.607
132,1,8,600,1,244.083
133,1,8,600,1,344.182
134,1,8,300,1,350.635
135,1,8,600,1,408.622
136,1,8,0,2,309.24
137,1,8,0,2,270.961
138,1,8,300,2,1352.62
139,1,8,600,1,227.766
140,1,8,500,1,733.154
141,1,8,100,2,1335.99
142,1,8,400,2,1351.68
143,1,8,400,1,486.383
144,1,8,100,2,483.622
145,1,8,500,1,266.863
146,1,8,600,1,193.017
147,1,8,400,1,867.671
148,1,8,0,2,333.557
149,1,8,200,1,225.547
150,1,8,200,2,381.437
151,1,8,0,2,274.402
152,1,8,500,1,705.181
153,1,8,300,2,703.277
154,1,8,200,1,1018.89
155,1,8,100,2,369.213
156,1,8,200,1,603.943
157,1,8,500,1,762.945
158,1,8,100,1,2749.16
159,1,8,300,1,231.436
160,1,8,300,1,195.169
161,1,8,300,1,227.101
162,1,8,200,1,690.539
163,1,8,400,1,206.468
164,1,8,200,2,601.054
165,1,8,0,2,250.032
166,1,8,400,1,514.823
167,1,8,500,1,1086.92
168,1,8,100,2,546.663
169,1,4,300,1,549.984
170,1,4,100,2,1892.46
171,1,4,300,2,1543.85
172,1,4,400,1,309.334
173,1,4,300,1,409.201
174,1,4,100,2,442.176
175,1,4,100,2,311.115
176,1,4,0,2,283.825
177,1,4,200,2,694.891
178,1,4,600,1,493.231
179,1,4,200,1,407.755
180,1,4,0,2,366.755
181,1,4,500,2,527.849
182,1,4,0,2,231.722
183,1,4,400,2,311.179
184,1,4,600,2,1308.78
185,1,4,500,1,440.67
186,1,4,500,1,458.411
187,1,4,600,1,124.526
188,1,4,100,2,374.22
189,1,4,400,1,110.415
190,1,4,400,1,92.8069
191,1,4,200,1,341.643
192,1,4,200,1,277.006
193,1,4,200,2,576.894
194,1,4,0,2,333.271
195,1,4,100,2,277.919
196,1,4,600,1,727.193
197,1,4,600,1,774.188
198,1,4,500,1,240.409
199,1,4,300,1,691.673
200,1,4,0,1,1349.24
201,1,4,500,1,144.797
202,1,4,300,2,441.182
203,1,4,300,2,1476.43
204,1,4,0,2,665.654
205,1,4,500,1,44.7261
206,1,4,600,1,307.949
207,1,4,100,2,757.596
208,1,4,400,1,276.877
209,1,4,200,2,525.8
210,1,4,400,1,209.687
211,1,2,600,1,766.185
212,1,2,100,2,307.401
213,1,2,200,1,593.357
214,1,2,200,1,643.604
215,1,2,500,1,326.326
216,1,2,500,1,258.432
217,1,2,200,1,1391.07
218,1,2,400,1,543.904
219,1,2,0,1,331.607
220,1,2,400,1,378.073
221,1,2,500,1,1342.05
222,1,2,200,1,907.682
223,1,2,300,1,376.812
224,1,2,200,2,1192.37
225,1,2,500,1,110.557
226,1,2,300,1,907.59
227,1,2,0,1,732.645
228,1,2,100,2,527.828
229,1,2,400,1,110.184
230,1,2,600,2,2492.05
231,1,2,400,2,891.704
232,1,2,300,1,1241.65
233,1,2,300,2,644.005
234,1,2,100,2,275.07
235,1,2,300,1,160.761
236,1,2,600,2,892.617
237,1,2,0,2,581.49
238,1,2,500,1,110.824
239,1,2,100,2,541.631
240,1,2,300,2,526.918
241,1,2,600,2,476.199
242,1,2,400,2,340.332
243,1,2,200,2,1025.72
244,1,2,500,1,476.156
245,1,2,0,1,748.299
246,1,2,100,2,1127.56
247,1,2,400,2,427.734
248,1,2,600,1,542.001
249,1,2,100,1,391.07
250,1,2,600,1,893.971
251,1,2,0,2,379.161
252,1,2,0,2,667.608
253,1,1,300,1,5782.92
254,1,1,100,1,875.723
255,1,1,300,1,994.39
256,1,1,200,1,225.803
257,1,1,400,1,343.363
258,1,1,100,2,827.083
259,1,1,0,2,383.747
260,1,1,100,2,544.557
261,1,1,100,1,410.132
262,1,1,600,1,211.008
263,1,1,200,1,490.189
264,1,1,200,1,1327.04
265,1,1,200,1,1009.36
266,1,1,0,2,1133.29
267,1,1,600,1,160.657
268,1,1,200,1,1398.42
269,1,1,300,1,386.518
270,1,1,500,1,409.405
271,1,1,600,1,357.383
272,1,1,0,2,947.003
273,1,1,100,2,2327.58
274,1,1,500,1,343.551
275,1,1,300,2,1558.27
276,1,1,600,1,424.834
277,1,1,500,1,257.928
278,1,1,500,1,325.681
279,1,1,0,2,548.038
280,1,1,100,2,410.564
281,1,1,200,1,794.051
282,1,1,600,2,2392.72
283,1,1,600,2,1157.17
284,1,1,300,2,1991.11
285,1,1,300,1,559.199
286,1,1,0,2,349.428
287,1,1,400,2,1294.25
288,1,1,0,2,599.09
289,1,1,500,1,427.72
290,1,1,400,1,874.926
291,1,1,400,1,408.407
292,1,1,400,1,442.52
293,1,1,400,1,441.432
294,1,1,500,1,875.645
295,1,5,600,2,4149.75
296,1,5,500,1,88.7633
297,1,5,600,1,170.293
298,1,5,300,1,551.841
299,1,5,100,2,807.477
300,1,5,300,1,252.273
301,1,5,200,2,747.609
302,1,5,200,2,1185.67
303,1,5,500,1,788.632
304,1,5,400,1,1212.27
305,1,5,100,2,717.656
306,1,5,200,2,712.508
307,1,5,300,1,714.865
308,1,5,500,1,178.638
309,1,5,100,2,828.249
310,1,5,400,1,296.945
311,1,5,200,2,640.698
312,1,5,400,1,1622.17
313,1,5,300,2,1295.08
314,1,5,400,1,211.176
315,1,5,0,2,518.615
316,1,5,200,1,939.144
317,1,5,0,2,424.74
318,1,5,300,1,174.236
319,1,5,200,1,1728.07
320,1,5,600,1,142.785
321,1,5,100,1,917.779
322,1,5,0,2,507.785
323,1,5,500,1,3848.49
324,1,5,100,2,2025.6
325,1,5,600,1,460.396
326,1,5,500,1,165.211
327,1,5,600,1,520.99
328,1,5,600,1,1003.3
329,1,5,400,1,692.037
330,1,5,500,1,1177.76
331,1,5,0,1,694.097
332,1,5,400,2,1281.06
333,1,5,100,2,404.873
334,1,5,0,2,392.729
335,1,5,300,1,764.259
336,1,5,0,2,1230.43
