trialNum,visualBlock,feedbackBlock,offset,response,responseTime
1,1,7,200,1,2599.61
2,1,7,400,1,1223.75
3,1,7,0,1,2644.45
4,1,7,200,1,1527.74
5,1,7,500,1,607.821
6,1,7,200,1,1187.67
7,1,7,600,1,771.68
8,1,7,100,1,1705.93
9,1,7,400,1,1113.94
10,1,7,600,1,1581.26
11,1,7,600,1,841.272
12,1,7,500,1,657.609
13,1,7,300,1,957.356
14,1,7,100,1,891.026
15,1,7,300,1,714.678
16,1,7,100,1,703.865
17,1,7,600,1,678.372
18,1,7,200,1,868.923
19,1,7,600,1,499.589
20,1,7,300,1,504.678
21,1,7,100,1,533.393
22,1,7,500,1,452.309
23,1,7,300,1,510.185
24,1,7,400,1,432.839
25,1,7,0,1,664.01
26,1,7,200,1,601.034
27,1,7,0,2,4037.14
28,1,7,600,1,493.463
29,1,7,500,1,317.355
30,1,7,500,1,340.457
31,1,7,0,1,428.864
32,1,7,100,1,445.466
33,1,7,500,1,423.303
34,1,7,300,1,510.345
35,1,7,400,1,417.4
36,1,7,400,1,482.789
37,1,7,100,1,488.211
38,1,7,0,1,520.843
39,1,7,200,1,503.916
40,1,7,300,1,482.666
41,1,7,0,2,2416.63
42,1,7,400,1,635.276
43,1,1,400,1,616.422
44,1,1,0,1,1048.51
45,1,1,100,1,427.076
46,1,1,100,1,377.252
47,1,1,300,1,360.191
48,1,1,500,1,359.461
49,1,1,200,1,341.15
50,1,1,600,1,359.319
51,1,1,0,2,664.141
52,1,1,0,2,500.602
53,1,1,500,1,444.766
54,1,1,0,2,1197.22
55,1,1,200,1,511.314
56,1,1,300,1,492.839
57,1,1,300,1,1359.6
58,1,1,400,1,325.209
59,1,1,0,2,698.629
60,1,1,200,1,227.32
61,1,1,400,1,326.816
62,1,1,600,1,291.494
63,1,1,300,1,242.354
64,1,1,500,1,1242.02
65,1,1,100,1,1857.98
66,1,1,200,1,560.132
67,1,1,400,1,360.144
68,1,1,0,2,731.169
69,1,1,200,1,294.74
70,1,1,300,1,142.521
71,1,1,600,1,942.925
72,1,1,600,1,1356.92
73,1,1,100,1,3540.48
74,1,1,500,1,860.298
75,1,1,200,1,374.553
76,1,1,600,1,358.802
77,1,1,400,1,407.241
78,1,1,500,1,791.526
79,1,1,100,1,891.334
80,1,1,100,1,626.942
81,1,1,400,1,527.559
82,1,1,300,1,375.381
83,1,1,500,1,1008.85
84,1,1,600,1,390.678
85,1,2,0,2,3473.11
86,1,2,600,1,377.371
87,1,2,400,1,612.655
88,1,2,200,1,286.174
89,1,2,400,1,359.934
90,1,2,500,1,391.178
91,1,2,100,2,2474.2
92,1,2,300,1,244.32
93,1,2,300,1,209.729
94,1,2,100,1,375.492
95,1,2,300,1,277.369
96,1,2,100,2,625.457
97,1,2,100,2,477.305
98,1,2,400,1,260.455
99,1,2,200,2,1258.54
100,1,2,0,2,599.517
101,1,2,300,1,278.034
102,1,2,200,2,1292.11
103,1,2,600,1,328.332
104,1,2,600,1,373.447
