trialNum,visualBlock,feedbackBlock,offset,response,responseTime
1,1,2,600,2,3032.91
2,1,2,200,2,1709.57
3,1,2,0,2,1569.38
4,1,2,200,2,2376.15
5,1,2,400,2,2142.97
6,1,2,100,2,2110.26
7,1,2,0,2,1768.44
8,1,2,600,2,1543.69
9,1,2,400,2,3359.6
10,1,2,500,2,6524.37
11,1,2,100,2,1976.49
12,1,2,300,2,4278.29
13,1,2,0,2,1833.55
14,1,2,400,1,994.074
15,1,2,200,2,1276.46
16,1,2,0,2,918.014
17,1,2,500,1,1243.98
18,1,2,200,2,1260.55
19,1,2,500,1,1361.12
20,1,2,600,1,642.664
21,1,2,400,2,3258.58
22,1,2,400,1,423.445
23,1,2,600,1,442.093
24,1,2,300,1,540.77
25,1,2,600,1,1675.89
26,1,2,300,1,1040.71
27,1,2,500,1,1359.33
28,1,2,100,2,1590.37
29,1,2,100,2,710.901
30,1,2,100,2,526.888
31,1,2,300,2,1577.46
32,1,2,200,2,608.606
33,1,2,500,2,5376.79
34,1,2,300,1,307.641
35,1,2,0,2,632.634
36,1,2,100,2,377.376
37,1,2,400,1,493.767
38,1,2,300,1,325.168
39,1,2,500,1,6759.67
40,1,2,200,2,2324.1
41,1,2,600,1,259.756
42,1,2,0,2,780.635
43,1,3,0,2,3089.54
44,1,3,100,2,3768.99
45,1,3,600,1,1045.1
46,1,3,600,1,568.081
47,1,3,100,2,3948.43
48,1,3,100,2,1367.51
49,1,3,400,1,432.551
50,1,3,400,1,586.182
51,1,3,300,1,561.621
52,1,3,600,1,462.631
53,1,3,600,1,805.386
54,1,3,400,1,498.305
55,1,3,400,1,424.255
56,1,3,300,1,511.269
57,1,3,0,2,873.37
58,1,3,100,2,644.732
59,1,3,500,2,2168.96
60,1,3,100,2,1058.74
61,1,3,100,2,1886.74
62,1,3,500,1,364.371
63,1,3,400,1,364.389
64,1,3,300,1,465.985
65,1,3,200,2,1547.15
66,1,3,500,1,371.59
67,1,3,600,1,1523.14
68,1,3,0,2,1780.08
69,1,3,200,2,5795.97
70,1,3,0,2,2536.85
71,1,3,300,1,409.128
72,1,3,200,1,3315.01
73,1,3,500,1,386.14
74,1,3,400,1,368.956
75,1,3,200,2,1955.78
76,1,3,600,2,4641.74
77,1,3,300,2,3968.43
78,1,3,200,2,1632.04
79,1,3,0,2,7919.39
80,1,3,0,2,812.401
81,1,3,500,1,307.1
82,1,3,300,1,423.07
83,1,3,200,1,415.843
84,1,3,500,1,2005.49
85,1,1,100,2,3966.43
86,1,1,0,2,800.703
87,1,1,500,1,261.14
88,1,1,300,1,241.328
89,1,1,600,1,259.047
90,1,1,600,1,57.7902
91,1,1,0,2,380.724
92,1,1,500,1,260.846
93,1,1,400,1,875.025
94,1,1,100,2,491.639
95,1,1,400,1,310.673
96,1,1,400,1,308.412
97,1,1,200,2,1808.69
98,1,1,300,1,842.943
99,1,1,300,1,3992.34
100,1,1,500,1,492.434
101,1,1,0,2,8398.39
102,1,1,400,1,911.223
103,1,1,500,1,108.412
104,1,1,100,1,5124.59
105,1,1,200,1,8076.76
106,1,1,200,1,3492.96
107,1,1,300,2,2676.38
108,1,1,500,1,359.668
109,1,1,600,1,1257.58
110,1,1,600,1,40.2709
111,1,1,200,2,1607.78
112,1,1,0,2,399.229
113,1,1,100,2,3494.0
114,1,1,300,1,377.573
115,1,1,0,2,1582.44
116,1,1,200,1,5078.05
117,1,1,400,1,292.721
118,1,1,100,1,1625.37
119,1,1,500,1,193.456
120,1,1,100,2,1125.01
121,1,1,300,1,443.593
122,1,1,0,2,450.86
123,1,1,600,1,77.9105
124,1,1,400,1,323.881
125,1,1,600,1,492.459
126,1,1,200,2,2106.84
127,1,7,400,1,1216.65
128,1,7,500,1,389.478
129,1,7,0,2,813.199
130,1,7,100,1,5286.47
131,1,7,0,1,3278.52
132,1,7,600,1,1058.66
133,1,7,200,2,478.253
134,1,7,500,1,3847.23
135,1,7,600,1,7438.69
136,1,7,200,2,830.952
137,1,7,600,1,720.393
138,1,7,500,1,199.728
139,1,7,100,2,780.443
140,1,7,200,2,896.642
141,1,7,400,2,3369.12
142,1,7,100,2,497.672
143,1,7,0,2,521.697
144,1,7,400,1,468.791
145,1,7,300,2,2890.71
146,1,7,300,2,4010.12
147,1,7,600,1,4523.62
148,1,7,0,2,451.26
149,1,7,600,1,237.035
150,1,7,500,2,4771.09
151,1,7,500,1,265.335
152,1,7,600,1,691.075
153,1,7,0,2,519.476
154,1,7,100,2,787.614
155,1,7,200,2,2527.54
156,1,7,100,2,604.409
157,1,7,100,2,474.039
158,1,7,300,1,5834.84
159,1,7,0,2,661.662
160,1,7,400,1,105.469
161,1,7,300,1,174.1
162,1,7,400,1,144.642
163,1,7,200,2,383.534
164,1,7,200,2,977.674
165,1,7,400,1,90.8426
166,1,7,300,1,3480.37
167,1,7,500,1,2297.26
168,1,7,300,1,1608.44
169,1,6,500,1,1999.45
170,1,6,100,2,2957.51
171,1,6,500,1,6877.26
172,1,6,400,1,190.941
173,1,6,600,1,808.643
174,1,6,100,2,573.113
175,1,6,0,2,7999.7
176,1,6,300,2,2560.81
177,1,6,600,1,593.352
178,1,6,0,2,613.518
