trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,13,0,0,1,1,1,8,1689.6
2,0,0,0,0,0,0,6,3741.42
3,14,0,100,1,2,1,3,3396.62
4,3,0,400,0,0,1,1,841.566
5,15,0,100,1,0,2,4,894.575
6,2,0,400,0,2,0,2,591.161
7,0,0,200,0,0,0,1,972.651
8,13,0,300,1,1,1,2,880.041
9,1,0,200,0,1,0,2,3506.9
10,5,0,0,0,2,1,7,656.374
11,15,0,200,1,0,2,6,777.443
12,10,0,300,1,1,0,8,2194.24
13,5,0,200,0,2,1,4,920.827
14,11,0,0,1,2,0,8,659.08
15,6,0,200,0,0,2,3,289.911
16,0,0,400,0,0,0,2,2434.86
17,8,0,400,0,2,2,1,3401.99
18,9,0,100,1,0,0,7,1478.15
19,10,0,0,1,1,0,8,562.356
20,7,0,400,0,1,2,7,4721.67
21,16,0,100,1,1,2,6,1175.46
22,5,0,100,0,2,1,6,4771.75
23,3,0,300,0,0,1,3,1787.68
24,14,0,400,1,2,1,2,892.92
25,15,0,400,1,0,2,1,1426.79
26,7,0,100,0,1,2,7,655.0
27,4,0,0,0,1,1,6,1703.86
28,3,0,100,0,0,1,5,5219.6
29,1,0,100,0,1,0,6,2787.68
30,10,0,400,1,1,0,3,511.599
31,17,0,200,1,2,2,6,694.95
32,13,0,400,1,1,1,5,3310.78
33,16,0,0,1,1,2,9,126.588
34,17,0,0,1,2,2,9,78.5166
35,7,0,200,0,1,2,7,435.429
36,13,0,200,1,1,1,6,3226.98
37,14,0,0,1,2,1,8,2744.15
38,15,0,300,1,0,2,2,2677.93
39,1,0,300,0,1,0,4,2237.61
40,13,0,100,1,1,1,6,475.473
41,7,0,300,0,1,2,6,1704.95
42,4,0,300,0,1,1,4,1036.89
43,10,0,100,1,1,0,7,929.463
44,0,0,100,0,0,0,1,455.132
45,12,0,400,1,0,1,2,2894.19
46,1,0,0,0,1,0,3,3803.39
47,1,0,400,0,1,0,3,3471.29
48,16,0,400,1,1,2,2,408.961
49,8,0,300,0,2,2,8,3886.68
50,6,0,0,0,0,2,8,1513.15
51,12,0,300,1,0,1,4,612.809
52,12,0,0,1,0,1,8,1312.36
53,11,0,300,1,2,0,4,4328.22
54,17,0,300,1,2,2,5,1577.15
55,14,0,200,1,2,1,6,543.704
56,6,0,100,0,0,2,4,1154.16
57,5,0,400,0,2,1,3,635.02
58,2,0,200,0,2,0,3,2602.44
59,11,0,400,1,2,0,2,1377.35
60,5,0,300,0,2,1,1,787.045
61,9,0,300,1,0,0,1,776.762
62,12,0,100,1,0,1,5,793.371
63,8,0,200,0,2,2,4,821.523
64,0,0,300,0,0,0,3,2104.2
65,11,0,100,1,2,0,8,1826.46
66,16,0,200,1,1,2,4,327.208
67,3,0,0,0,0,1,7,720.823
68,9,0,200,1,0,0,6,1710.98
69,12,0,200,1,0,1,5,727.563
70,4,0,100,0,1,1,7,470.916
71,14,0,300,1,2,1,6,692.365
72,17,0,100,1,2,2,9,977.091
73,2,0,100,0,2,0,7,238.886
74,4,0,200,0,1,1,3,1404.39
75,6,0,400,0,0,2,6,3619.75
76,8,0,100,0,2,2,7,738.67
77,7,0,0,0,1,2,8,204.363
78,17,0,400,1,2,2,4,962.034
79,9,0,400,1,0,0,5,1609.33
80,15,0,0,1,0,2,9,675.779
81,11,0,200,1,2,0,7,1062.0
82,6,0,300,0,0,2,5,986.903
83,2,0,0,0,2,0,9,487.08
84,2,0,300,0,2,0,6,723.884
85,8,0,0,0,2,2,8,736.855
86,10,0,200,1,1,0,6,1760.82
87,4,0,400,0,1,1,4,1320.88
88,3,0,200,0,0,1,4,1136.53
89,9,0,0,1,0,0,8,1176.58
90,16,0,300,1,1,2,4,479.232
91,17,0,400,1,2,2,6,1739.57
92,16,0,200,1,1,2,7,776.879
93,6,0,200,0,0,2,5,520.768
