trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,2,0,0,0,2,0,9,1266.27
2,6,0,100,0,0,2,8,1824.86
3,10,0,200,1,1,0,8,3130.45
4,10,0,100,1,1,0,9,1313.66
5,8,0,200,0,2,2,8,1390.26
6,4,0,0,0,1,1,9,1823.24
7,15,0,200,1,0,2,8,1863.19
8,2,0,200,0,2,0,8,1289.64
9,6,0,200,0,0,2,7,1457.83
10,7,0,200,0,1,2,8,1706.9
11,10,0,400,1,1,0,8,1676.64
12,4,0,100,0,1,1,9,987.44
13,0,0,200,0,0,0,7,1420.95
14,4,0,400,0,1,1,8,2370.6
15,10,0,0,1,1,0,9,809.467
16,14,0,0,1,2,1,9,961.899
17,13,0,100,1,1,1,9,1612.25
18,13,0,400,1,1,1,8,1829.04
19,5,0,100,0,2,1,9,1453.32
20,13,0,0,1,1,1,9,1027.46
21,5,0,300,0,2,1,8,1689.07
22,6,0,0,0,0,2,9,1104.06
23,0,0,300,0,0,0,7,1187.51
24,5,0,200,0,2,1,8,1020.23
25,6,0,400,0,0,2,6,3002.92
26,7,0,0,0,1,2,9,1220.13
27,12,0,300,1,0,1,7,2594.53
28,14,0,300,1,2,1,8,1293.43
29,16,0,200,1,1,2,9,1677.32
30,0,0,0,0,0,0,9,971.152
31,14,0,400,1,2,1,7,1193.93
32,12,0,0,1,0,1,9,909.675
33,1,0,200,0,1,0,9,1005.33
34,3,0,400,0,0,1,7,1003.86
35,4,0,300,0,1,1,8,1156.79
36,9,0,400,1,0,0,6,1493.46
37,17,0,0,1,2,2,9,1225.08
38,11,0,0,1,2,0,9,895.578
39,1,0,300,0,1,0,8,1472.14
40,1,0,0,0,1,0,9,1220.01
41,11,0,200,1,2,0,9,1194.86
42,7,0,300,0,1,2,8,1687.78
43,15,0,300,1,0,2,8,1196.57
44,3,0,0,0,0,1,9,1103.89
45,12,0,100,1,0,1,9,994.536
46,11,0,300,1,2,0,8,1445.38
47,11,0,400,1,2,0,7,2126.33
48,16,0,400,1,1,2,7,1292.96
49,17,0,400,1,2,2,7,1226.61
50,16,0,300,1,1,2,7,1793.55
51,9,0,300,1,0,0,6,1830.0
52,17,0,100,1,2,2,9,927.187
53,15,0,100,1,0,2,9,978.445
54,14,0,200,1,2,1,9,1711.38
55,6,0,300,0,0,2,8,2204.18
56,2,0,100,0,2,0,9,969.985
57,9,0,100,1,0,0,9,1094.18
58,3,0,200,0,0,1,8,1038.7
59,7,0,400,0,1,2,8,1738.04
60,16,0,0,1,1,2,9,826.04
61,5,0,0,0,2,1,9,838.917
62,12,0,400,1,0,1,7,1226.46
63,13,0,200,1,1,1,9,1076.47
64,4,0,200,0,1,1,9,1021.51
65,3,0,300,0,0,1,8,1237.54
66,17,0,200,1,2,2,8,1093.08
67,5,0,400,0,2,1,8,1606.18
68,1,0,100,0,1,0,9,1269.22
69,9,0,200,1,0,0,7,1444.33
70,2,0,300,0,2,0,7,1570.92
71,10,0,300,1,1,0,8,1326.33
72,15,0,0,1,0,2,9,977.451
73,16,0,100,1,1,2,9,961.379
74,14,0,100,1,2,1,9,1027.7
75,9,0,0,1,0,0,9,911.621
76,15,0,400,1,0,2,7,1194.98
77,12,0,200,1,0,1,8,959.781
78,3,0,100,0,0,1,9,1004.18
79,1,0,400,0,1,0,8,1536.78
80,13,0,300,1,1,1,8,1526.2
81,11,0,100,1,2,0,9,943.722
82,8,0,400,0,2,2,7,1338.36
83,8,0,100,0,2,2,9,1036.62
84,2,0,400,0,2,0,8,1237.68
85,17,0,300,1,2,2,8,1176.02
86,0,0,100,0,0,0,8,1137.02
87,8,0,0,0,2,2,9,871.023
88,0,0,400,0,0,0,6,1422.25
89,8,0,300,0,2,2,7,1253.04
90,7,0,100,0,1,2,9,970.11
91,11,0,400,1,2,0,7,1539.6
92,9,0,400,1,0,0,7,1793.39
93,7,0,300,0,1,2,8,1886.41
94,3,0,200,0,0,1,8,1520.3
95,9,0,300,1,0,0,7,1126.67
96,16,0,400,1,1,2,6,2109.94
97,0,0,300,0,0,0,6,1053.84
98,9,0,0,1,0,0,9,927.021
99,4,0,300,0,1,1,7,1355.76
100,13,0,300,1,1,1,7,1210.19
101,5,0,400,0,2,1,6,1387.41
102,3,0,0,0,0,1,9,785.815
103,17,0,400,1,2,2,6,1327.68
104,10,0,300,1,1,0,7,1193.56
105,12,0,0,1,0,1,9,877.111
106,10,0,0,1,1,0,9,861.893
107,4,0,200,0,1,1,8,1006.23
108,14,0,100,1,2,1,9,927.684
109,7,0,0,0,1,2,9,855.283
110,8,0,100,0,2,2,9,1038.27
111,14,0,200,1,2,1,8,1111.15
112,15,0,100,1,0,2,9,1043.77
113,2,0,400,0,2,0,6,1305.35
114,2,0,0,0,2,0,9,886.441
115,2,0,200,0,2,0,8,1020.51
116,3,0,400,0,0,1,7,1257.59
117,14,0,300,1,2,1,7,1159.79
118,6,0,300,0,0,2,7,1304.1
119,6,0,100,0,0,2,9,970.742
120,16,0,200,1,1,2,9,1094.62
121,17,0,100,1,2,2,9,1044.84
122,7,0,400,0,1,2,8,1320.28
123,10,0,100,1,1,0,9,1010.58
124,11,0,100,1,2,0,9,978.963
125,13,0,0,1,1,1,9,878.024
126,6,0,400,0,0,2,6,1692.67
127,3,0,100,0,0,1,8,986.75
128,1,0,300,0,1,0,8,1104.17
129,12,0,100,1,0,1,9,959.245
130,11,0,200,1,2,0,9,1178.05
131,9,0,200,1,0,0,6,1494.8
132,12,0,400,1,0,1,6,1345.14
133,8,0,400,0,2,2,7,2303.9
134,14,0,400,1,2,1,7,1542.38
135,5,0,300,0,2,1,8,1136.95
136,1,0,100,0,1,0,9,1003.46
137,17,0,200,1,2,2,9,1110.72
138,0,0,200,0,0,0,8,904.481
139,10,0,200,1,1,0,9,1143.15
140,1,0,200,0,1,0,9,2203.89
141,1,0,0,0,1,0,9,853.891
142,0,0,100,0,0,0,9,786.888
143,17,0,0,1,2,2,9,975.931
144,5,0,0,0,2,1,9,988.733
145,2,0,100,0,2,0,9,837.992
146,7,0,200,0,1,2,8,1070.75
147,8,0,200,0,2,2,9,1603.81
148,16,0,0,1,1,2,9,862.62
149,8,0,300,0,2,2,8,1556.04
150,15,0,300,1,0,2,7,1526.86
151,11,0,300,1,2,0,8,1760.54
152,2,0,300,0,2,0,7,937.516
153,15,0,400,1,0,2,6,1543.13
154,15,0,200,1,0,2,6,1225.88
155,4,0,100,0,1,1,9,921.335
