trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,5,0,0,0,2,1,6,4366.72
2,4,0,200,0,1,1,6,5107.9
3,4,0,100,0,1,1,7,2107.11
4,3,0,100,0,0,1,5,1757.19
5,17,0,0,1,2,2,9,1296.81
6,11,0,300,1,2,0,5,2097.08
7,2,0,0,0,2,0,7,2124.03
8,14,0,300,1,2,1,5,3381.14
9,11,0,100,1,2,0,6,1597.06
10,14,0,400,1,2,1,2,5929.82
11,1,0,0,0,1,0,7,1303.92
12,13,0,200,1,1,1,3,2977.67
13,6,0,0,0,0,2,9,971.995
14,12,0,400,1,0,1,2,3611.34
15,10,0,200,1,1,0,4,3693.89
16,17,0,200,1,2,2,8,1244.33
17,11,0,400,1,2,0,3,6361.09
18,14,0,0,1,2,1,6,4826.73
19,13,0,300,1,1,1,1,2147.35
20,5,0,400,0,2,1,1,3570.64
21,0,0,300,0,0,0,4,2486.28
22,3,0,0,0,0,1,8,2503.78
23,0,0,0,0,0,0,9,5754.89
24,15,0,100,1,0,2,9,3194.3
25,1,0,200,0,1,0,6,4104.68
26,6,0,100,0,0,2,8,1587.67
27,2,0,300,0,2,0,4,1454.82
28,7,0,0,0,1,2,8,1336.87
29,15,0,200,1,0,2,5,5494.35
30,4,0,400,0,1,1,3,5804.16
31,3,0,400,0,0,1,2,2337.21
32,4,0,300,0,1,1,1,3302.96
33,16,0,100,1,1,2,9,1609.52
34,7,0,300,0,1,2,8,1971.96
35,4,0,0,0,1,1,5,2853.15
36,15,0,0,1,0,2,9,964.472
37,2,0,400,0,2,0,2,5721.78
38,10,0,400,1,1,0,7,1692.9
39,12,0,0,1,0,1,7,2092.8
40,2,0,200,0,2,0,6,2221.5
41,3,0,200,0,0,1,4,2004.23
42,5,0,200,0,2,1,3,3353.64
43,16,0,300,1,1,2,7,1593.06
44,8,0,0,0,2,2,7,1406.3
45,2,0,100,0,2,0,5,2138.36
46,7,0,400,0,1,2,3,6871.0
47,0,0,200,0,0,0,3,2020.08
48,8,0,200,0,2,2,5,2320.07
49,15,0,300,1,0,2,8,2626.11
50,13,0,400,1,1,1,7,910.234
51,10,0,300,1,1,0,6,1476.73
52,5,0,300,0,2,1,5,921.846
53,13,0,0,1,1,1,8,459.998
54,6,0,200,0,0,2,5,1972.77
55,8,0,400,0,2,2,4,3020.01
56,15,0,400,1,0,2,6,992.966
57,3,0,300,0,0,1,3,1570.48
58,8,0,300,0,2,2,2,1420.4
59,12,0,100,1,0,1,6,876.81
60,9,0,0,1,0,0,7,1261.63
61,14,0,100,1,2,1,6,5861.67
62,13,0,100,1,1,1,6,1678.21
63,7,0,200,0,1,2,7,1871.86
64,1,0,400,0,1,0,6,920.776
65,11,0,200,1,2,0,7,2259.35
66,12,0,200,1,0,1,7,2294.45
67,11,0,0,1,2,0,8,727.853
68,6,0,300,0,0,2,2,2488.96
69,9,0,300,1,0,0,8,2077.67
70,7,0,100,0,1,2,2,1302.36
71,9,0,400,1,0,0,7,3076.79
72,14,0,200,1,2,1,8,709.958
73,10,0,100,1,1,0,8,2344.56
74,16,0,0,1,1,2,9,1944.48
75,5,0,100,0,2,1,7,2289.38
76,6,0,400,0,0,2,4,3321.99
77,8,0,100,0,2,2,5,1819.73
78,17,0,300,1,2,2,6,1460.73
79,12,0,300,1,0,1,6,1610.18
80,16,0,400,1,1,2,7,3693.42
81,16,0,200,1,1,2,6,3310.19
82,0,0,400,0,0,0,7,1654.85
83,1,0,100,0,1,0,5,552.863
84,10,0,0,1,1,0,8,2044.26
85,17,0,400,1,2,2,6,1728.09
86,9,0,100,1,0,0,7,579.352
87,9,0,200,1,0,0,8,1628.09
88,1,0,300,0,1,0,8,1204.61
89,0,0,100,0,0,0,7,3203.88
90,17,0,100,1,2,2,9,2860.87
91,11,0,300,1,2,0,5,3322.76
92,8,0,400,0,2,2,6,1203.73
93,16,0,300,1,1,2,6,1442.58
94,12,0,400,1,0,1,5,1361.82
