trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,4,1.0,100,0,1,1,7,1449.88
2,17,1.0,100,1,2,2,8,1963.88
3,4,0.5,400,0,1,1,1,607.441
4,17,0.5,300,1,2,2,2,1846.16
5,4,0.5,300,0,1,1,1,1423.1
6,17,0.0,200,1,2,2,7,1679.99
7,17,0.0,300,1,2,2,6,1396.98
8,17,1.0,0,1,2,2,9,786.548
9,4,0.5,200,0,1,1,6,1573.76
10,17,0.5,200,1,2,2,7,3028.53
11,17,0.5,100,1,2,2,7,4477.0
12,4,0.5,100,0,1,1,8,1605.03
13,4,1.0,300,0,1,1,1,452.217
14,4,1.0,400,0,1,1,1,903.533
15,4,0.5,0,0,1,1,8,3029.62
16,4,0.0,200,0,1,1,6,2254.71
17,17,1.0,200,1,2,2,6,1260.29
18,17,1.0,400,1,2,2,2,2893.25
19,17,0.0,400,1,2,2,2,909.479
20,17,0.5,400,1,2,2,2,1110.06
21,4,0.0,100,0,1,1,8,1136.36
22,17,0.0,0,1,2,2,9,1044.1
23,17,0.5,0,1,2,2,9,1106.81
24,17,1.0,300,1,2,2,8,1511.8
25,4,0.0,400,0,1,1,1,1170.5
26,17,0.0,100,1,2,2,9,925.852
27,4,1.0,200,0,1,1,7,2074.62
28,4,0.0,0,0,1,1,8,1069.02
29,4,0.0,300,0,1,1,3,2788.38
30,4,1.0,0,0,1,1,8,1859.91
31,4,1.0,200,0,1,1,3,1521.93
32,4,1.0,300,0,1,1,3,854.056
33,17,1.0,400,1,2,2,2,1243.17
34,17,0.0,400,1,2,2,5,2876.39
35,4,0.5,0,0,1,1,8,1367.49
36,4,0.0,300,0,1,1,7,2038.34
37,4,1.0,0,0,1,1,9,1926.42
38,17,1.0,200,1,2,2,7,1344.55
39,4,1.0,400,0,1,1,1,555.346
40,4,0.0,400,0,1,1,1,1918.62
41,4,0.5,100,0,1,1,8,1570.12
42,4,1.0,100,0,1,1,8,1504.95
43,4,0.5,300,0,1,1,3,1355.02
44,4,0.5,400,0,1,1,1,1253.17
45,4,0.0,100,0,1,1,6,2252.44
46,17,0.5,100,1,2,2,9,944.258
47,4,0.0,200,0,1,1,2,1405.08
48,4,0.5,200,0,1,1,2,1319.91
49,17,1.0,300,1,2,2,3,1777.31
50,17,0.0,200,1,2,2,5,2892.99
51,17,1.0,100,1,2,2,9,1794.36
52,17,0.5,200,1,2,2,8,1044.79
53,17,0.0,300,1,2,2,7,2327.64
54,17,0.5,400,1,2,2,6,4559.89
55,17,0.0,100,1,2,2,8,3408.33
56,4,0.0,0,0,1,1,8,1022.49
57,17,0.5,0,1,2,2,9,972.078
58,17,0.0,0,1,2,2,9,1027.86
59,17,1.0,0,1,2,2,9,868.436
60,17,0.5,300,1,2,2,7,1013.12
61,17,0.0,200,1,2,2,7,1339.46
62,4,1.0,100,0,1,1,8,1404.34
63,17,0.5,300,1,2,2,3,1010.58
64,4,0.0,200,0,1,1,3,920.866
65,17,0.0,100,1,2,2,9,1044.36
66,17,1.0,0,1,2,2,9,718.149
67,17,0.0,300,1,2,2,6,2128.14
68,4,0.5,300,0,1,1,3,1937.42
69,4,0.5,200,0,1,1,1,506.518
70,4,0.5,100,0,1,1,6,3270.8
71,4,0.0,400,0,1,1,1,820.562
72,4,1.0,400,0,1,1,1,453.323
73,4,1.0,300,0,1,1,1,484.694
74,17,0.5,200,1,2,2,7,1226.12
75,4,1.0,0,0,1,1,8,810.908
76,17,0.0,0,1,2,2,9,561.12
77,17,0.5,0,1,2,2,9,958.464
78,4,0.5,0,0,1,1,9,1116.93
79,4,1.0,200,0,1,1,8,1903.75
80,17,1.0,200,1,2,2,7,893.524
81,4,0.0,300,0,1,1,2,996.888
82,17,1.0,400,1,2,2,1,443.119
83,4,0.5,400,0,1,1,1,652.663
84,4,0.0,0,0,1,1,8,785.39
85,17,0.5,100,1,2,2,8,1228.15
86,17,1.0,100,1,2,2,9,760.909
87,4,0.0,100,0,1,1,8,1321.12
88,17,1.0,300,1,2,2,3,1210.26
89,17,0.5,400,1,2,2,7,3075.74
90,17,0.0,400,1,2,2,6,1176.84
91,17,1.0,300,1,2,2,4,2042.67
92,17,0.5,0,1,2,2,9,404.508
93,17,0.0,0,1,2,2,9,778.412
94,17,0.0,200,1,2,2,7,1147.64
95,17,0.0,300,1,2,2,7,1377.32
96,17,0.0,100,1,2,2,9,909.945
97,17,0.0,400,1,2,2,7,1361.41
98,17,1.0,0,1,2,2,9,766.294
99,4,0.5,400,0,1,1,1,2805.32
100,4,1.0,0,0,1,1,9,1575.79
101,4,0.0,200,0,1,1,2,2353.02
102,17,0.5,100,1,2,2,8,1044.1
103,17,0.5,300,1,2,2,7,1111.0
104,4,0.0,0,0,1,1,8,2103.38
105,4,1.0,100,0,1,1,8,1588.52
106,17,0.5,400,1,2,2,6,1183.15
107,4,0.0,100,0,1,1,8,1485.64
108,4,0.0,400,0,1,1,3,3754.02
109,4,1.0,300,0,1,1,1,619.118
110,4,1.0,200,0,1,1,3,1369.17
111,4,0.5,200,0,1,1,3,424.297
112,4,0.5,300,0,1,1,3,1103.71
113,4,0.5,100,0,1,1,8,2136.56
114,4,1.0,400,0,1,1,3,2403.76
115,17,1.0,200,1,2,2,7,642.085
116,4,0.0,300,0,1,1,2,788.425
117,4,0.5,0,0,1,1,9,832.213
118,17,0.5,200,1,2,2,7,927.013
119,17,1.0,400,1,2,2,6,780.373
120,17,1.0,100,1,2,2,9,510.113
