trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,17,0.5,0,1,2,2,9,550.935
2,4,0.5,100,0,1,1,6,2791.02
3,17,0.5,100,1,2,2,9,1547.0
4,17,0.0,100,1,2,2,9,347.681
5,17,1.0,100,1,2,2,8,380.771
6,17,1.0,300,1,2,2,7,2714.02
7,4,0.0,400,0,1,1,5,806.892
8,4,0.0,0,0,1,1,5,2240.0
9,4,1.0,300,0,1,1,3,2307.78
10,4,1.0,400,0,1,1,3,2589.98
11,4,0.0,300,0,1,1,3,3503.23
12,4,0.0,200,0,1,1,4,1636.91
13,17,0.5,400,1,2,2,7,1360.67
14,4,1.0,100,0,1,1,4,2253.51
15,4,0.0,100,0,1,1,5,2087.74
16,17,1.0,200,1,2,2,8,427.254
17,4,1.0,0,0,1,1,4,277.842
18,4,0.5,0,0,1,1,2,2484.0
19,17,0.0,300,1,2,2,6,1944.03
20,17,1.0,400,1,2,2,6,1410.57
21,4,0.5,400,0,1,1,1,1303.84
22,17,0.0,0,1,2,2,6,1843.56
23,4,0.5,200,0,1,1,5,689.438
24,4,1.0,200,0,1,1,5,671.125
25,17,0.0,400,1,2,2,8,1210.37
26,17,0.5,200,1,2,2,7,527.071
27,4,0.5,300,0,1,1,4,690.607
28,17,1.0,0,1,2,2,6,617.039
29,17,0.5,300,1,2,2,8,362.622
30,17,0.0,200,1,2,2,8,444.13
31,4,0.0,400,0,1,1,3,1071.27
32,4,1.0,100,0,1,1,2,1419.51
33,17,1.0,0,1,2,2,7,117.422
34,17,1.0,100,1,2,2,9,378.348
35,4,1.0,200,0,1,1,4,1456.8
36,4,1.0,0,0,1,1,5,3892.58
37,17,1.0,300,1,2,2,8,211.453
38,17,0.5,400,1,2,2,7,1010.69
39,4,0.5,0,0,1,1,5,665.054
40,17,0.5,300,1,2,2,7,311.004
41,17,0.0,400,1,2,2,6,1527.29
42,17,0.0,0,1,2,2,8,260.578
43,4,0.5,400,0,1,1,3,539.388
44,17,0.5,100,1,2,2,5,808.775
45,4,0.0,200,0,1,1,2,2353.94
46,4,0.0,0,0,1,1,1,1137.41
47,17,0.0,200,1,2,2,8,594.74
48,4,0.5,200,0,1,1,4,1387.45
49,4,0.5,300,0,1,1,3,570.372
50,4,0.5,100,0,1,1,3,803.313
51,17,1.0,400,1,2,2,8,894.208
52,17,0.0,100,1,2,2,9,347.126
53,17,1.0,200,1,2,2,7,228.992
54,4,1.0,400,0,1,1,1,2020.69
55,4,1.0,300,0,1,1,2,601.957
56,17,0.5,0,1,2,2,9,371.648
57,17,0.0,300,1,2,2,8,762.029
58,4,0.0,100,0,1,1,5,837.596
59,17,0.5,200,1,2,2,6,960.335
60,4,0.0,300,0,1,1,4,1223.36
61,17,0.0,0,1,2,2,9,1589.4
62,4,0.0,200,0,1,1,2,672.335
63,17,0.0,100,1,2,2,7,360.403
64,4,1.0,400,0,1,1,4,1903.95
65,4,0.0,0,0,1,1,3,5585.78
66,4,1.0,300,0,1,1,2,171.027
67,4,0.5,100,0,1,1,1,253.549
68,4,0.5,0,0,1,1,1,383.442
69,17,0.0,300,1,2,2,7,2261.52
70,17,0.0,400,1,2,2,6,1193.43
71,4,1.0,0,0,1,1,1,526.88
72,4,1.0,200,0,1,1,1,755.02
73,4,0.5,200,0,1,1,2,1454.22
74,4,1.0,100,0,1,1,1,3770.69
75,4,0.0,400,0,1,1,2,2320.76
76,17,1.0,200,1,2,2,7,876.332
77,17,1.0,300,1,2,2,6,813.774
78,4,0.0,100,0,1,1,6,3054.71
79,4,0.0,300,0,1,1,4,488.124
80,17,0.5,400,1,2,2,7,592.834
81,17,0.5,200,1,2,2,7,976.655
82,17,1.0,0,1,2,2,9,248.599
83,17,0.5,300,1,2,2,8,662.334
84,17,0.0,200,1,2,2,8,644.269
85,17,0.5,100,1,2,2,9,1329.34
86,17,1.0,400,1,2,2,7,295.248
87,4,0.5,400,0,1,1,5,2086.34
88,4,0.5,300,0,1,1,5,1052.13
89,17,0.5,0,1,2,2,6,854.036
90,17,1.0,100,1,2,2,7,577.62
91,4,0.0,0,0,1,1,3,1671.54
92,4,0.0,200,0,1,1,4,1138.22
93,17,0.5,400,1,2,2,6,543.761
94,4,0.0,400,0,1,1,2,3153.38
95,4,0.5,200,0,1,1,1,419.909
96,4,0.0,100,0,1,1,1,2036.74
97,4,0.5,300,0,1,1,3,603.155
98,4,0.5,400,0,1,1,4,920.617
99,17,0.5,200,1,2,2,6,1742.19
100,4,1.0,300,0,1,1,4,2138.27
101,17,0.0,100,1,2,2,6,1027.56
102,17,1.0,200,1,2,2,6,360.789
103,4,1.0,0,0,1,1,7,1209.97
104,4,1.0,400,0,1,1,4,2738.09
105,17,1.0,0,1,2,2,8,265.473
106,17,0.5,0,1,2,2,8,340.136
107,17,0.0,400,1,2,2,9,3112.06
108,4,1.0,100,0,1,1,7,5417.87
109,4,0.5,100,0,1,1,6,1287.17
110,17,1.0,100,1,2,2,7,896.769
111,4,1.0,200,0,1,1,5,338.178
112,4,0.0,300,0,1,1,4,820.577
113,17,0.0,200,1,2,2,6,776.18
114,17,0.5,100,1,2,2,6,443.605
115,4,0.5,0,0,1,1,5,1833.14
116,17,0.0,300,1,2,2,7,1343.56
117,17,1.0,400,1,2,2,8,3760.34
118,17,0.0,0,1,2,2,9,294.391
119,17,1.0,300,1,2,2,8,112.619
120,17,0.5,300,1,2,2,7,226.451
