trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,4,0.0,0,0,1,1,8,1666.24
2,17,0.0,300,1,2,2,2,314.151
3,17,1.0,300,1,2,2,1,2397.09
4,4,0.5,400,0,1,1,2,1257.25
5,4,0.5,100,0,1,1,7,1091.28
6,4,0.0,100,0,1,1,6,1607.58
7,4,1.0,300,0,1,1,4,657.017
8,4,0.5,200,0,1,1,2,773.545
9,17,0.0,200,1,2,2,2,878.895
10,4,1.0,200,0,1,1,3,1539.61
11,17,0.0,400,1,2,2,1,727.367
12,17,0.5,0,1,2,2,7,1937.67
13,17,1.0,0,1,2,2,7,2035.54
14,4,0.0,300,0,1,1,2,1038.77
15,17,1.0,100,1,2,2,3,2142.97
16,17,0.0,100,1,2,2,2,2027.68
17,4,1.0,400,0,1,1,1,471.141
18,4,0.5,300,0,1,1,1,536.9
19,17,0.5,400,1,2,2,1,559.951
20,4,0.5,0,0,1,1,7,799.056
21,4,1.0,0,0,1,1,7,1594.94
22,17,0.0,0,1,2,2,8,477.771
23,4,1.0,100,0,1,1,4,622.653
24,4,0.0,400,0,1,1,2,1687.25
25,17,0.5,200,1,2,2,2,475.927
26,4,0.0,200,0,1,1,1,1387.79
27,17,1.0,400,1,2,2,1,446.606
28,17,1.0,200,1,2,2,2,1343.3
29,17,0.5,300,1,2,2,1,727.608
30,17,0.5,100,1,2,2,7,643.954
31,4,0.0,300,0,1,1,1,755.026
32,4,1.0,200,0,1,1,1,220.535
33,4,0.5,0,0,1,1,7,582.6
34,17,1.0,200,1,2,2,8,461.135
35,4,1.0,0,0,1,1,2,2012.57
36,4,0.0,0,0,1,1,7,721.644
37,17,0.0,0,1,2,2,8,1861.28
38,4,1.0,400,0,1,1,1,2156.01
39,4,1.0,100,0,1,1,1,1336.24
40,17,0.5,0,1,2,2,7,1589.31
41,4,0.5,100,0,1,1,1,1889.49
42,17,0.0,200,1,2,2,2,611.392
43,4,0.5,400,0,1,1,1,571.231
44,17,1.0,100,1,2,2,7,1896.54
45,17,0.5,400,1,2,2,7,1494.77
46,17,0.0,100,1,2,2,8,926.499
47,4,0.0,400,0,1,1,1,788.018
48,17,1.0,300,1,2,2,2,441.88
49,17,0.0,300,1,2,2,1,693.611
50,4,0.0,200,0,1,1,2,570.626
51,17,0.5,100,1,2,2,1,525.252
52,17,1.0,400,1,2,2,1,430.362
53,4,0.0,100,0,1,1,1,1519.38
54,4,0.5,300,0,1,1,1,1770.41
55,4,1.0,300,0,1,1,2,636.66
56,17,0.5,200,1,2,2,6,774.24
57,17,0.0,400,1,2,2,3,1644.34
58,4,0.5,200,0,1,1,2,919.645
59,17,1.0,0,1,2,2,7,533.674
60,17,0.5,300,1,2,2,7,1447.35
61,17,1.0,200,1,2,2,2,506.113
62,4,0.5,0,0,1,1,8,132.984
63,4,0.5,400,0,1,1,2,555.355
64,4,0.0,100,0,1,1,7,669.343
65,17,0.5,300,1,2,2,6,2027.82
66,4,0.0,0,0,1,1,9,354.545
67,17,0.5,400,1,2,2,5,4743.6
68,4,1.0,200,0,1,1,2,553.387
69,17,1.0,100,1,2,2,7,1777.01
70,17,0.5,200,1,2,2,7,627.886
71,4,0.0,400,0,1,1,2,2258.29
72,17,1.0,300,1,2,2,3,1509.47
73,4,1.0,300,0,1,1,1,404.114
74,17,0.5,0,1,2,2,6,3321.69
75,4,1.0,400,0,1,1,2,1687.41
76,17,0.0,200,1,2,2,2,942.582
77,4,1.0,0,0,1,1,8,1332.65
78,17,0.0,0,1,2,2,9,411.206
79,17,1.0,400,1,2,2,2,1595.03
80,17,0.0,300,1,2,2,2,1825.92
81,17,0.0,100,1,2,2,6,1392.8
82,17,0.5,100,1,2,2,6,328.722
83,4,0.0,200,0,1,1,1,738.028
84,17,1.0,0,1,2,2,7,266.713
85,17,0.0,400,1,2,2,2,1562.41
86,4,1.0,100,0,1,1,6,936.425
87,4,0.5,200,0,1,1,2,487.597
88,4,0.5,100,0,1,1,1,904.336
89,4,0.5,300,0,1,1,1,471.383
90,4,0.0,300,0,1,1,1,620.061
91,17,0.0,200,1,2,2,2,2510.01
92,4,0.0,200,0,1,1,2,704.718
93,17,1.0,400,1,2,2,2,2127.14
94,17,0.5,100,1,2,2,8,643.388
95,4,1.0,300,0,1,1,2,2805.09
96,4,0.5,300,0,1,1,2,1103.91
97,4,0.5,0,0,1,1,9,965.964
98,4,0.0,300,0,1,1,2,521.583
99,4,0.5,100,0,1,1,8,1136.93
100,4,0.0,100,0,1,1,7,637.673
101,17,0.5,400,1,2,2,4,1344.42
102,17,1.0,100,1,2,2,4,663.109
103,4,0.0,400,0,1,1,2,1186.64
104,4,0.5,200,0,1,1,1,1019.73
105,4,0.5,400,0,1,1,1,1370.49
106,17,1.0,200,1,2,2,2,2192.81
107,17,1.0,0,1,2,2,7,700.775
108,4,0.0,0,0,1,1,8,1022.43
109,17,0.0,300,1,2,2,6,1694.62
110,17,1.0,300,1,2,2,1,478.531
111,17,0.5,300,1,2,2,2,792.719
112,17,0.5,200,1,2,2,2,1061.1
113,17,0.0,100,1,2,2,5,1911.05
114,17,0.0,400,1,2,2,1,861.414
115,4,1.0,400,0,1,1,1,887.324
116,4,1.0,0,0,1,1,8,509.488
117,4,1.0,100,0,1,1,1,1588.19
118,17,0.5,0,1,2,2,9,607.496
119,17,0.0,0,1,2,2,9,410.433
120,4,1.0,200,0,1,1,2,905.509
