trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,17,0.5,300,1,2,2,8,923.103
2,17,0.0,300,1,2,2,7,930.86
3,4,0.0,300,0,1,1,7,2173.85
4,4,0.0,200,0,1,1,7,1073.89
5,17,1.0,300,1,2,2,8,3214.19
6,4,0.5,400,0,1,1,8,807.547
7,17,1.0,200,1,2,2,7,1079.2
8,17,0.5,400,1,2,2,7,1413.8
9,4,1.0,200,0,1,1,7,1072.93
10,4,1.0,100,0,1,1,8,2106.67
11,4,0.5,0,0,1,1,9,466.118
12,4,0.5,200,0,1,1,8,488.145
13,17,0.0,100,1,2,2,8,4293.46
14,17,0.0,200,1,2,2,7,1128.28
15,4,0.0,0,0,1,1,8,1238.11
16,17,0.0,0,1,2,2,9,1044.42
17,4,1.0,0,0,1,1,9,1178.55
18,4,0.0,400,0,1,1,7,1738.19
19,4,1.0,300,0,1,1,7,972.909
20,4,1.0,400,0,1,1,6,636.855
21,4,0.5,100,0,1,1,7,1003.53
22,17,0.5,200,1,2,2,8,593.709
23,17,0.5,100,1,2,2,8,1010.63
24,4,0.0,100,0,1,1,7,1021.48
25,17,1.0,100,1,2,2,8,1144.16
26,4,0.5,300,0,1,1,7,688.126
27,17,1.0,0,1,2,2,9,485.035
28,17,0.0,400,1,2,2,7,1344.3
29,17,1.0,400,1,2,2,6,1559.94
30,17,0.5,0,1,2,2,9,688.377
31,4,1.0,400,0,1,1,6,1788.83
32,4,0.0,400,0,1,1,7,2486.2
33,17,0.5,300,1,2,2,7,2642.24
34,4,0.0,200,0,1,1,7,2804.04
35,17,1.0,100,1,2,2,9,2844.61
36,17,0.5,100,1,2,2,8,728.019
37,4,0.5,300,0,1,1,7,1404.8
38,4,1.0,0,0,1,1,8,2709.61
39,17,0.5,400,1,2,2,8,1594.15
40,17,1.0,400,1,2,2,7,2492.69
41,4,1.0,300,0,1,1,7,1816.49
42,4,0.0,100,0,1,1,7,2769.69
43,4,0.0,300,0,1,1,7,1624.74
44,4,0.5,100,0,1,1,8,1406.73
45,4,0.5,200,0,1,1,8,1021.4
46,4,1.0,200,0,1,1,7,1970.46
47,17,1.0,300,1,2,2,8,343.674
48,17,1.0,200,1,2,2,8,526.982
49,4,0.0,0,0,1,1,9,2488.08
50,4,0.5,0,0,1,1,9,949.751
51,17,0.0,300,1,2,2,8,1161.52
52,17,0.5,200,1,2,2,8,560.888
53,17,1.0,0,1,2,2,9,534.028
54,17,0.0,100,1,2,2,9,612.226
55,17,0.0,200,1,2,2,8,511.771
56,17,0.5,0,1,2,2,9,806.3
57,4,0.5,400,0,1,1,7,638.702
58,4,1.0,100,0,1,1,7,2586.08
59,17,0.0,0,1,2,2,9,527.809
60,17,0.0,400,1,2,2,8,1078.72
61,17,0.5,0,1,2,2,9,684.316
62,4,1.0,0,0,1,1,8,2678.66
63,17,1.0,400,1,2,2,7,611.636
64,17,0.0,400,1,2,2,8,2626.36
65,4,1.0,100,0,1,1,7,2703.33
66,17,0.5,100,1,2,2,8,460.976
67,4,1.0,400,0,1,1,7,804.861
68,4,0.5,0,0,1,1,9,1681.07
69,17,1.0,200,1,2,2,7,2878.01
70,17,0.5,200,1,2,2,9,1230.68
71,4,0.0,100,0,1,1,7,2921.3
72,17,1.0,300,1,2,2,7,1193.67
73,4,0.5,100,0,1,1,8,1004.61
74,4,0.0,300,0,1,1,7,2004.87
75,17,0.0,100,1,2,2,8,876.249
76,4,0.5,300,0,1,1,7,1788.23
77,17,0.0,0,1,2,2,9,626.136
78,4,0.0,400,0,1,1,7,708.634
79,17,1.0,100,1,2,2,8,1859.83
80,17,1.0,0,1,2,2,9,451.399
81,4,1.0,300,0,1,1,6,1438.5
82,4,0.5,200,0,1,1,6,870.591
83,4,1.0,200,0,1,1,6,471.075
84,4,0.5,400,0,1,1,6,537.692
85,4,0.0,200,0,1,1,6,486.39
86,17,0.5,400,1,2,2,7,1443.43
87,17,0.5,300,1,2,2,8,2429.45
88,17,0.0,200,1,2,2,7,1543.93
89,4,0.0,0,0,1,1,8,2304.66
90,17,0.0,300,1,2,2,7,1695.32
91,4,0.0,200,0,1,1,7,4836.98
92,4,1.0,200,0,1,1,6,870.645
93,4,0.5,200,0,1,1,6,172.025
94,17,1.0,100,1,2,2,8,793.283
95,17,1.0,0,1,2,2,9,353.684
96,4,1.0,300,0,1,1,6,588.767
97,17,1.0,300,1,2,2,7,1093.16
98,17,0.5,400,1,2,2,7,593.573
99,4,0.0,0,0,1,1,9,2102.92
100,4,1.0,100,0,1,1,8,538.264
101,4,0.5,100,0,1,1,8,3404.22
102,17,0.0,400,1,2,2,7,1874.9
103,4,1.0,0,0,1,1,9,1060.15
104,4,0.0,100,0,1,1,8,2058.46
105,17,0.5,0,1,2,2,9,605.954
106,17,0.5,200,1,2,2,7,2361.86
107,4,0.0,400,0,1,1,6,1787.65
108,17,0.5,100,1,2,2,8,1109.26
109,17,1.0,400,1,2,2,7,694.421
110,4,0.5,0,0,1,1,9,2997.56
111,17,0.0,0,1,2,2,9,777.728
112,17,0.0,300,1,2,2,8,946.519
113,17,0.5,300,1,2,2,8,693.178
114,4,0.0,300,0,1,1,6,1103.63
115,4,0.5,300,0,1,1,6,920.2
116,4,1.0,400,0,1,1,5,636.433
117,4,0.5,400,0,1,1,6,1252.78
118,17,1.0,200,1,2,2,7,626.181
119,17,0.0,100,1,2,2,8,428.164
120,17,0.0,200,1,2,2,8,945.158
