trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,4,1.0,0,0,1,1,7,1239.79
2,4,0.0,400,0,1,1,3,1241.46
3,17,0.0,0,1,2,2,8,2062.88
4,17,0.5,400,1,2,2,3,1448.12
5,4,0.5,100,0,1,1,6,990.79
6,4,0.0,300,0,1,1,4,1907.36
7,17,0.5,300,1,2,2,4,1296.24
8,4,0.0,200,0,1,1,6,1205.87
9,17,1.0,0,1,2,2,8,1286.74
10,4,1.0,200,0,1,1,4,690.727
11,4,0.5,400,0,1,1,4,920.911
12,17,0.0,200,1,2,2,4,1108.23
13,17,0.0,400,1,2,2,3,1490.3
14,17,0.5,200,1,2,2,5,1626.63
15,4,0.0,0,0,1,1,7,1388.07
16,4,0.5,300,0,1,1,5,1069.51
17,4,0.0,100,0,1,1,7,1103.21
18,17,0.5,100,1,2,2,7,1695.81
19,17,1.0,400,1,2,2,3,727.663
20,17,1.0,200,1,2,2,3,958.995
21,17,0.0,100,1,2,2,7,1510.63
22,4,1.0,400,0,1,1,3,1287.75
23,4,0.5,0,0,1,1,7,664.483
24,17,0.0,300,1,2,2,5,1994.03
25,4,0.5,200,0,1,1,5,852.973
26,4,1.0,300,0,1,1,5,2637.56
27,4,1.0,100,0,1,1,6,1903.19
28,17,1.0,300,1,2,2,4,794.137
29,17,0.5,0,1,2,2,8,455.393
30,17,1.0,100,1,2,2,7,460.571
31,4,0.0,0,0,1,1,8,738.475
32,17,0.5,200,1,2,2,6,727.251
33,17,0.0,200,1,2,2,6,1378.9
34,4,1.0,100,0,1,1,6,903.832
35,17,1.0,300,1,2,2,5,813.548
36,4,1.0,400,0,1,1,4,770.411
37,4,0.0,100,0,1,1,6,1352.17
38,4,0.0,400,0,1,1,5,1470.36
39,17,0.5,300,1,2,2,6,1024.33
40,4,1.0,300,0,1,1,5,2687.37
41,17,1.0,400,1,2,2,4,392.963
42,17,1.0,200,1,2,2,4,1043.28
43,4,0.5,0,0,1,1,7,653.013
44,4,0.0,300,0,1,1,6,1054.81
45,4,0.5,300,0,1,1,6,836.401
46,4,1.0,200,0,1,1,5,1286.68
47,17,0.0,300,1,2,2,5,1260.14
48,17,0.5,400,1,2,2,5,927.128
49,17,0.0,0,1,2,2,8,1292.93
50,17,1.0,0,1,2,2,9,1700.09
51,4,0.5,200,0,1,1,6,1090.74
52,4,0.0,200,0,1,1,5,1420.36
53,17,1.0,100,1,2,2,6,2243.76
54,4,0.5,100,0,1,1,6,1071.56
55,17,0.0,100,1,2,2,7,960.783
56,17,0.5,0,1,2,2,8,1422.96
57,17,0.0,400,1,2,2,5,862.77
58,4,0.5,400,0,1,1,4,1020.29
59,4,1.0,0,0,1,1,7,794.567
60,17,0.5,100,1,2,2,7,927.646
61,17,0.0,400,1,2,2,4,872.283
62,4,1.0,0,0,1,1,7,660.3
63,17,0.0,0,1,2,2,7,894.41
64,4,0.0,400,0,1,1,4,737.583
65,17,0.5,300,1,2,2,4,909.568
66,4,0.0,0,0,1,1,7,770.221
67,17,1.0,300,1,2,2,4,1544.27
68,4,1.0,200,0,1,1,4,974.19
69,17,1.0,100,1,2,2,5,2259.91
70,4,1.0,300,0,1,1,3,704.42
71,4,1.0,400,0,1,1,3,403.514
72,4,0.0,100,0,1,1,5,2534.41
73,17,0.5,100,1,2,2,6,693.656
74,4,0.5,0,0,1,1,7,1500.04
75,17,0.0,200,1,2,2,5,1361.3
76,17,1.0,0,1,2,2,8,486.052
77,17,0.5,0,1,2,2,8,1872.35
78,17,0.0,100,1,2,2,7,461.741
79,4,0.5,200,0,1,1,5,504.194
80,4,0.0,300,0,1,1,4,637.082
81,4,0.5,300,0,1,1,3,502.544
82,4,0.5,400,0,1,1,3,602.68
83,17,0.0,300,1,2,2,4,909.228
84,17,0.5,400,1,2,2,4,545.393
85,17,1.0,400,1,2,2,3,759.516
86,17,1.0,200,1,2,2,4,859.702
87,17,0.5,200,1,2,2,4,877.476
88,4,0.5,100,0,1,1,6,1020.96
89,4,1.0,100,0,1,1,6,370.958
90,4,0.0,200,0,1,1,6,971.218
91,17,0.0,400,1,2,2,4,776.728
92,4,1.0,100,0,1,1,6,838.396
93,17,1.0,300,1,2,2,3,626.784
94,4,0.0,400,0,1,1,4,1570.17
95,4,1.0,200,0,1,1,5,952.876
96,4,0.5,400,0,1,1,4,553.818
97,17,0.5,0,1,2,2,8,821.07
98,17,1.0,100,1,2,2,7,410.891
99,17,1.0,200,1,2,2,6,411.383
100,17,0.0,200,1,2,2,5,644.321
101,4,1.0,400,0,1,1,3,754.678
102,4,0.5,300,0,1,1,3,519.955
103,4,0.0,300,0,1,1,4,633.354
104,4,0.5,0,0,1,1,7,1098.04
105,17,1.0,400,1,2,2,3,576.311
106,4,0.0,0,0,1,1,7,1236.28
107,4,0.5,100,0,1,1,6,937.746
108,17,0.0,0,1,2,2,7,1178.78
109,4,1.0,0,0,1,1,7,1045.35
110,17,0.5,400,1,2,2,5,577.588
111,17,1.0,0,1,2,2,8,932.481
112,4,1.0,300,0,1,1,5,386.995
113,17,0.0,300,1,2,2,5,675.379
114,17,0.5,100,1,2,2,6,843.578
115,17,0.5,200,1,2,2,6,910.366
116,17,0.0,100,1,2,2,6,1244.0
117,4,0.0,100,0,1,1,7,940.963
118,4,0.0,200,0,1,1,6,1537.71
119,17,0.5,300,1,2,2,6,1260.36
120,4,0.5,200,0,1,1,5,620.84
