trialNum,condition,location,offset,vision,vibration,audio,response,responseTime
1,17,0.0,400,1,2,2,3,2855.66
2,4,1.0,100,0,1,1,3,1357.38
3,17,0.0,100,1,2,2,5,180.966
4,17,1.0,100,1,2,2,5,780.907
5,4,0.5,200,0,1,1,1,374.912
6,4,1.0,400,0,1,1,1,323.401
7,4,0.5,100,0,1,1,1,322.623
8,17,0.5,0,1,2,2,9,324.788
9,4,1.0,300,0,1,1,1,274.17
10,17,0.5,300,1,2,2,5,480.034
11,17,0.5,200,1,2,2,5,410.355
12,4,0.5,0,0,1,1,9,316.735
13,17,1.0,0,1,2,2,9,284.539
14,4,1.0,200,0,1,1,1,237.774
15,17,0.5,400,1,2,2,3,977.039
16,4,0.0,400,0,1,1,1,686.816
17,4,1.0,0,0,1,1,9,442.195
18,17,0.0,300,1,2,2,3,894.961
19,17,1.0,300,1,2,2,4,543.557
20,4,0.0,0,0,1,1,8,2320.75
21,17,0.0,200,1,2,2,5,511.427
22,4,0.5,300,0,1,1,1,703.345
23,4,0.0,200,0,1,1,1,470.57
24,17,1.0,400,1,2,2,3,1493.25
25,17,1.0,200,1,2,2,3,360.237
26,17,0.5,100,1,2,2,9,510.749
27,4,0.0,300,0,1,1,1,571.526
28,4,0.5,400,0,1,1,1,469.678
29,17,0.0,0,1,2,2,9,292.205
30,4,0.0,100,0,1,1,7,2455.2
31,17,1.0,200,1,2,2,5,927.436
32,17,1.0,100,1,2,2,7,577.471
33,17,1.0,300,1,2,2,5,994.569
34,4,0.5,300,0,1,1,1,387.169
35,4,0.0,200,0,1,1,1,472.91
36,4,0.0,100,0,1,1,1,554.418
37,4,0.0,300,0,1,1,1,538.637
38,17,0.0,300,1,2,2,3,676.123
39,17,0.0,200,1,2,2,4,1660.13
40,4,1.0,100,0,1,1,1,187.906
41,4,1.0,200,0,1,1,1,237.786
42,17,0.5,300,1,2,2,3,493.851
43,17,1.0,400,1,2,2,3,311.839
44,17,0.5,400,1,2,2,3,526.966
45,4,0.0,400,0,1,1,1,604.301
46,17,1.0,0,1,2,2,9,198.884
47,17,0.0,400,1,2,2,5,812.109
48,4,0.5,400,0,1,1,1,436.356
49,17,0.0,0,1,2,2,9,291.995
50,4,1.0,300,0,1,1,1,355.349
51,4,1.0,0,0,1,1,7,2695.45
52,17,0.5,100,1,2,2,7,576.788
53,4,1.0,400,0,1,1,1,387.798
54,17,0.5,200,1,2,2,4,1992.36
55,4,0.5,100,0,1,1,1,304.836
56,17,0.5,0,1,2,2,9,272.335
57,4,0.5,0,0,1,1,8,1517.19
58,4,0.0,0,0,1,1,7,587.983
59,17,0.0,100,1,2,2,7,411.467
60,4,0.5,200,0,1,1,1,241.322
61,4,1.0,0,0,1,1,7,573.363
62,4,0.0,400,0,1,1,1,688.14
63,17,0.5,200,1,2,2,5,425.615
64,4,0.5,100,0,1,1,1,270.321
65,4,0.0,300,0,1,1,1,370.904
66,17,0.5,0,1,2,2,9,237.738
67,4,1.0,300,0,1,1,1,238.273
68,17,1.0,0,1,2,2,9,134.818
69,4,0.5,200,0,1,1,1,305.361
70,17,0.0,400,1,2,2,3,810.341
71,4,0.0,200,0,1,1,1,452.68
72,17,0.0,0,1,2,2,9,160.654
73,17,1.0,200,1,2,2,7,261.224
74,4,0.5,300,0,1,1,1,204.352
75,4,1.0,100,0,1,1,5,1953.19
76,17,0.0,200,1,2,2,4,2178.31
77,17,0.5,100,1,2,2,7,344.031
78,17,1.0,400,1,2,2,5,427.491
79,4,1.0,200,0,1,1,1,269.665
80,17,0.0,300,1,2,2,4,1377.01
81,17,0.0,100,1,2,2,7,1409.67
82,17,1.0,100,1,2,2,8,961.261
83,4,0.0,100,0,1,1,1,421.482
84,17,0.5,400,1,2,2,3,477.367
85,17,1.0,300,1,2,2,3,894.996
86,4,1.0,400,0,1,1,1,253.862
87,4,0.5,0,0,1,1,7,831.358
88,4,0.5,400,0,1,1,1,405.494
89,4,0.0,0,0,1,1,9,1000.76
90,17,0.5,300,1,2,2,3,894.443
91,4,0.5,200,0,1,1,1,370.444
92,17,1.0,0,1,2,2,9,233.149
93,4,0.0,200,0,1,1,1,274.205
94,17,0.0,300,1,2,2,5,527.143
95,17,1.0,100,1,2,2,7,360.933
96,4,0.0,300,0,1,1,1,538.28
97,17,0.5,0,1,2,2,9,137.784
98,17,0.0,200,1,2,2,7,1127.68
99,17,0.0,100,1,2,2,7,327.42
100,4,1.0,0,0,1,1,7,761.611
101,17,1.0,400,1,2,2,5,394.384
102,4,0.0,100,0,1,1,3,1654.12
103,17,0.5,400,1,2,2,3,826.334
104,17,1.0,200,1,2,2,3,276.355
105,17,0.0,400,1,2,2,4,1310.87
106,17,0.0,0,1,2,2,9,159.605
107,4,0.5,300,0,1,1,1,1155.36
108,17,0.5,200,1,2,2,3,309.826
109,4,0.0,0,0,1,1,7,404.365
110,4,1.0,400,0,1,1,1,238.337
111,4,1.0,100,0,1,1,5,1468.75
112,17,1.0,300,1,2,2,4,1027.21
113,4,0.5,0,0,1,1,8,2549.26
114,4,1.0,300,0,1,1,1,88.2131
115,4,0.0,400,0,1,1,1,570.366
116,17,0.5,300,1,2,2,4,859.17
117,4,1.0,200,0,1,1,1,204.041
118,4,0.5,100,0,1,1,1,320.171
119,17,0.5,100,1,2,2,5,294.769
120,4,0.5,400,0,1,1,1,420.833
