"","block","signals","offset","response"
"301","visual",1,-28,1
"302","visual",1,-56,0
"303","visual",1,-70,0
"304","visual",1,400,0
"305","visual",1,100,1
"306","visual",1,-56,0
"307","visual",1,-84,0
"308","visual",1,-84,0
"309","visual",1,-28,1
"310","visual",1,100,1
"311","visual",1,-84,0
"312","visual",1,200,0
"313","visual",1,600,1
"314","visual",1,500,1
"315","visual",1,0,1
"316","visual",1,-70,0
"317","visual",1,100,1
"318","visual",1,400,0
"319","visual",1,100,1
"320","visual",1,100,1
"321","visual",1,-56,1
"322","visual",1,-56,1
"323","visual",1,-28,1
"324","visual",1,500,0
"325","visual",1,-56,0
"326","visual",1,-14,1
"327","visual",1,300,0
"328","visual",1,-28,0
"329","visual",1,-14,1
"330","visual",1,400,0
"331","visual",1,-28,1
"332","visual",1,400,0
"333","visual",1,400,0
"334","visual",1,400,0
"335","visual",1,-42,1
"336","visual",1,-84,0
"337","visual",1,-56,1
"338","visual",1,300,0
"339","visual",1,-56,1
"340","visual",1,-56,1
"341","visual",1,-42,1
"342","visual",1,200,0
"343","visual",1,-42,1
"344","visual",1,200,1
"345","visual",1,0,1
"346","visual",1,-14,1
"347","visual",1,100,1
"348","visual",1,-14,1
"349","visual",1,-42,1
"350","visual",1,-84,1
"351","visual",1,500,0
"352","visual",1,300,0
"353","visual",1,0,1
"354","visual",1,100,1
"355","visual",1,500,0
"356","visual",1,200,0
"357","visual",1,-84,0
"358","visual",1,200,1
"359","visual",1,200,1
"360","visual",1,400,1
"361","visual",1,-28,0
"362","visual",1,500,1
"363","visual",1,200,0
"364","visual",1,-28,0
"365","visual",1,-42,0
"366","visual",1,0,1
"367","visual",1,100,1
"368","visual",1,-42,0
"369","visual",1,500,0
"370","visual",1,-14,1
"371","visual",1,500,0
"372","visual",1,-28,1
"373","visual",1,600,1
"374","visual",1,-14,1
"375","visual",1,-70,0
"376","visual",1,-56,0
"377","visual",1,-28,1
"378","visual",1,-14,1
"379","visual",1,0,1
"380","visual",1,200,0
"381","visual",1,0,1
"382","visual",1,-84,0
"383","visual",1,100,1
"384","visual",1,200,1
"385","visual",1,-14,1
"386","visual",1,400,1
"387","visual",1,-56,0
"388","visual",1,-42,0
"389","visual",1,-28,0
"390","visual",1,600,0
"391","visual",1,-42,0
"392","visual",1,0,1
"393","visual",1,300,0
"394","visual",1,-70,0
"395","visual",1,100,1
"396","visual",1,0,1
"397","visual",1,200,0
"398","visual",1,600,0
"399","visual",1,-84,0
"400","visual",1,-84,0
"401","visual",1,600,0
"402","visual",1,-84,0
"403","visual",1,300,0
"404","visual",1,-70,0
"405","visual",1,200,0
"406","visual",1,-42,0
"407","visual",1,400,0
"408","visual",1,200,0
"409","visual",1,-14,0
"410","visual",1,300,0
"411","visual",1,400,0
"412","visual",1,-56,0
"413","visual",1,600,0
"414","visual",1,-70,0
"415","visual",1,-56,0
"416","visual",1,-70,0
"417","visual",1,400,0
"418","visual",1,100,1
"419","visual",1,-70,0
"420","visual",1,600,0
"421","visual",1,-70,0
"422","visual",1,300,0
"423","visual",1,-84,0
"424","visual",1,-42,0
"425","visual",1,-84,0
"426","visual",1,500,1
"427","visual",1,-84,0
"428","visual",1,500,1
"429","visual",1,-56,0
"430","visual",1,100,1
"431","visual",1,500,0
"432","visual",1,300,0
"433","visual",1,-56,0
"434","visual",1,100,1
"435","visual",1,0,1
"436","visual",1,0,1
"437","visual",1,600,0
"438","visual",1,-70,0
"439","visual",1,-70,0
"440","visual",1,300,1
"441","visual",1,-28,0
"442","visual",1,600,0
"443","visual",1,-28,0
"444","visual",1,400,0
"445","visual",1,600,0
"446","visual",1,-14,1
"447","visual",1,-70,0
"448","visual",1,400,0
"449","visual",1,600,0
"450","visual",1,0,1
"451","visual",1,500,1
"452","visual",1,-14,1
"453","visual",1,-28,1
"454","visual",1,-84,0
"455","visual",1,-42,0
"456","visual",1,-70,0
"457","visual",1,300,1
"458","visual",1,300,1
"459","visual",1,-84,0
"460","visual",1,300,1
"461","visual",1,-28,1
"462","visual",1,200,1
"463","visual",1,-14,1
"464","visual",1,600,0
"465","visual",1,0,1
"466","visual",1,-42,0
"467","visual",1,500,1
"468","visual",1,100,1
"469","kinesthetic",2,-84,0
"470","kinesthetic",2,-14,1
"471","kinesthetic",2,-56,0
"472","kinesthetic",2,-42,0
"473","kinesthetic",2,-70,1
"474","kinesthetic",2,-84,0
"475","kinesthetic",2,-70,0
"476","kinesthetic",2,-14,1
"477","kinesthetic",2,600,0
"478","kinesthetic",2,500,0
"479","kinesthetic",2,-14,1
"480","kinesthetic",2,300,1
"481","kinesthetic",2,-70,0
"482","kinesthetic",2,-56,0
"483","kinesthetic",2,600,0
"484","kinesthetic",2,-28,1
"485","kinesthetic",2,200,0
"486","kinesthetic",2,400,0
"487","kinesthetic",2,200,0
"488","kinesthetic",2,-28,0
"489","kinesthetic",2,600,0
"490","kinesthetic",2,-42,0
"491","kinesthetic",2,100,1
"492","kinesthetic",2,100,1
"493","kinesthetic",2,600,0
"494","kinesthetic",2,-84,0
"495","kinesthetic",2,400,0
"496","kinesthetic",2,300,0
"497","kinesthetic",2,300,0
"498","kinesthetic",2,-42,0
"499","kinesthetic",2,100,1
"500","kinesthetic",2,500,1
"501","kinesthetic",2,0,1
"502","kinesthetic",2,-70,0
"503","kinesthetic",2,-28,0
"504","kinesthetic",2,-28,0
"505","kinesthetic",2,-28,0
"506","kinesthetic",2,-84,0
"507","kinesthetic",2,100,1
"508","kinesthetic",2,400,1
"509","kinesthetic",2,100,1
"510","kinesthetic",2,-28,0
"511","kinesthetic",2,-42,0
"512","kinesthetic",2,200,1
"513","kinesthetic",2,-28,1
"514","kinesthetic",2,0,1
"515","kinesthetic",2,600,0
"516","kinesthetic",2,300,1
"517","kinesthetic",2,-70,0
"518","kinesthetic",2,0,1
"519","kinesthetic",2,-14,1
"520","kinesthetic",2,200,1
"521","kinesthetic",2,300,1
"522","kinesthetic",2,0,1
"523","kinesthetic",2,-84,0
"524","kinesthetic",2,-70,0
"525","kinesthetic",2,200,1
"526","kinesthetic",2,500,0
"527","kinesthetic",2,-42,0
"528","kinesthetic",2,-42,0
"529","kinesthetic",2,-56,0
"530","kinesthetic",2,200,1
"531","kinesthetic",2,300,1
"532","kinesthetic",2,-14,1
"533","kinesthetic",2,400,0
"534","kinesthetic",2,0,1
"535","kinesthetic",2,600,1
"536","kinesthetic",2,-56,0
"537","kinesthetic",2,0,1
"538","kinesthetic",2,100,1
"539","kinesthetic",2,500,1
"540","kinesthetic",2,-84,0
"541","kinesthetic",2,500,1
"542","kinesthetic",2,0,1
"543","kinesthetic",2,400,0
"544","kinesthetic",2,-14,1
"545","kinesthetic",2,600,1
"546","kinesthetic",2,-84,0
"547","kinesthetic",2,-14,1
"548","kinesthetic",2,0,1
"549","kinesthetic",2,0,1
"550","kinesthetic",2,500,0
"551","kinesthetic",2,-14,1
"552","kinesthetic",2,-56,0
"553","kinesthetic",2,-14,1
"554","kinesthetic",2,-28,0
"555","kinesthetic",2,300,0
"556","kinesthetic",2,200,1
"557","kinesthetic",2,-56,0
"558","kinesthetic",2,-14,1
"559","kinesthetic",2,0,1
"560","kinesthetic",2,500,1
"561","kinesthetic",2,600,0
"562","kinesthetic",2,200,1
"563","kinesthetic",2,400,1
"564","kinesthetic",2,100,1
"565","kinesthetic",2,-84,0
"566","kinesthetic",2,400,1
"567","kinesthetic",2,600,1
"568","kinesthetic",2,-28,0
"569","kinesthetic",2,-84,0
"570","kinesthetic",2,-70,0
"571","kinesthetic",2,100,1
"572","kinesthetic",2,-42,0
"573","kinesthetic",2,0,1
"574","kinesthetic",2,-70,0
"575","kinesthetic",2,-84,0
"576","kinesthetic",2,400,0
"577","kinesthetic",2,-28,1
"578","kinesthetic",2,100,1
"579","kinesthetic",2,-42,0
"580","kinesthetic",2,-56,0
"581","kinesthetic",2,-70,0
"582","kinesthetic",2,400,1
"583","kinesthetic",2,500,1
"584","kinesthetic",2,300,1
"585","kinesthetic",2,400,0
"586","kinesthetic",2,300,1
"587","kinesthetic",2,500,1
"588","kinesthetic",2,600,1
"589","kinesthetic",2,100,1
"590","kinesthetic",2,-14,0
"591","kinesthetic",2,600,0
"592","kinesthetic",2,-70,0
"593","kinesthetic",2,-42,0
"594","kinesthetic",2,-70,0
"595","kinesthetic",2,-56,0
"596","kinesthetic",2,200,1
"597","kinesthetic",2,-70,0
"598","kinesthetic",2,-56,0
"599","kinesthetic",2,500,1
"600","kinesthetic",2,400,0
"601","kinesthetic",2,-84,0
"602","kinesthetic",2,-14,1
"603","kinesthetic",2,500,1
"604","kinesthetic",2,200,1
"605","kinesthetic",2,100,1
"606","kinesthetic",2,-84,0
"607","kinesthetic",2,300,1
"608","kinesthetic",2,-42,0
"609","kinesthetic",2,0,1
"610","kinesthetic",2,600,0
"611","kinesthetic",2,300,1
"612","kinesthetic",2,-56,0
"613","kinesthetic",2,-28,0
"614","kinesthetic",2,200,1
"615","kinesthetic",2,400,1
"616","kinesthetic",2,-42,0
"617","kinesthetic",2,300,1
"618","kinesthetic",2,600,0
"619","kinesthetic",2,600,0
"620","kinesthetic",2,500,0
"621","kinesthetic",2,-70,1
"622","kinesthetic",2,-28,1
"623","kinesthetic",2,-56,1
"624","kinesthetic",2,100,1
"625","kinesthetic",2,200,0
"626","kinesthetic",2,200,0
"627","kinesthetic",2,-42,1
"628","kinesthetic",2,-28,1
"629","kinesthetic",2,-70,0
"630","kinesthetic",2,-28,1
"631","kinesthetic",2,-14,1
"632","kinesthetic",2,600,0
"633","kinesthetic",2,-28,1
"634","kinesthetic",2,-28,1
"635","kinesthetic",2,0,1
"636","kinesthetic",2,-14,1
"637","kinesthetic",2,300,0
"638","kinesthetic",2,-42,0
"639","kinesthetic",2,-70,0
"640","kinesthetic",2,-14,1
"641","kinesthetic",2,100,0
"642","kinesthetic",2,-84,0
"643","kinesthetic",2,100,1
"644","kinesthetic",2,0,1
"645","kinesthetic",2,400,0
"646","kinesthetic",2,300,0
"647","kinesthetic",2,-70,0
"648","kinesthetic",2,300,0
"649","kinesthetic",2,-28,1
"650","kinesthetic",2,100,0
"651","kinesthetic",2,-56,0
"652","kinesthetic",2,200,0
"653","kinesthetic",2,-14,0
"654","kinesthetic",2,500,0
"655","kinesthetic",2,100,0
"656","kinesthetic",2,600,0
"657","kinesthetic",2,400,0
"658","kinesthetic",2,-84,0
"659","kinesthetic",2,600,0
"660","kinesthetic",2,300,0
"661","kinesthetic",2,400,0
"662","kinesthetic",2,-70,0
"663","kinesthetic",2,-56,0
"664","kinesthetic",2,-84,0
"665","kinesthetic",2,100,1
"666","kinesthetic",2,-70,0
"667","kinesthetic",2,-28,1
"668","kinesthetic",2,-56,0
"669","kinesthetic",2,-28,1
"670","kinesthetic",2,200,0
"671","kinesthetic",2,0,1
"672","kinesthetic",2,-56,0
"673","kinesthetic",2,500,0
"674","kinesthetic",2,-14,1
"675","kinesthetic",2,100,0
"676","kinesthetic",2,-84,0
"677","kinesthetic",2,100,0
"678","kinesthetic",2,-42,0
"679","kinesthetic",2,-28,1
"680","kinesthetic",2,600,0
"681","kinesthetic",2,500,0
"682","kinesthetic",2,-70,0
"683","kinesthetic",2,500,0
"684","kinesthetic",2,0,1
"685","kinesthetic",2,-70,0
"686","kinesthetic",2,-84,0
"687","kinesthetic",2,-14,1
"688","kinesthetic",2,-28,1
"689","kinesthetic",2,-42,1
"690","kinesthetic",2,400,0
"691","kinesthetic",2,300,0
"692","kinesthetic",2,500,0
"693","kinesthetic",2,-56,0
"694","kinesthetic",2,400,0
"695","kinesthetic",2,600,0
"696","kinesthetic",2,200,0
"697","kinesthetic",2,0,1
"698","kinesthetic",2,0,1
"699","kinesthetic",2,-84,0
"700","kinesthetic",2,400,0
"701","kinesthetic",2,-14,1
"702","kinesthetic",2,0,1
"703","kinesthetic",2,600,0
"704","kinesthetic",2,300,0
"705","kinesthetic",2,300,0
"706","kinesthetic",2,300,0
"707","kinesthetic",2,0,1
"708","kinesthetic",2,400,0
"709","kinesthetic",2,300,0
"710","kinesthetic",2,-42,0
"711","kinesthetic",2,0,1
"712","kinesthetic",2,-70,0
"713","kinesthetic",2,300,0
"714","kinesthetic",2,-70,0
"715","kinesthetic",2,200,0
"716","kinesthetic",2,300,0
"717","kinesthetic",2,600,0
"718","kinesthetic",2,-42,0
"719","kinesthetic",2,-14,1
"720","kinesthetic",2,100,1
"721","kinesthetic",2,-56,0
"722","kinesthetic",2,-84,0
"723","kinesthetic",2,-56,0
"724","kinesthetic",2,500,0
"725","kinesthetic",2,-84,0
"726","kinesthetic",2,500,0
"727","kinesthetic",2,-14,1
"728","kinesthetic",2,400,0
"729","kinesthetic",2,-56,0
"730","kinesthetic",2,-42,0
"731","kinesthetic",2,-42,0
"732","kinesthetic",2,-42,0
"733","kinesthetic",2,-28,0
"734","kinesthetic",2,600,0
"735","kinesthetic",2,400,0
"736","kinesthetic",2,-56,0
"737","kinesthetic",2,-70,0
"738","kinesthetic",2,-14,1
"739","kinesthetic",2,500,0
"740","kinesthetic",2,200,0
"741","kinesthetic",2,-14,1
"742","kinesthetic",2,400,0
"743","kinesthetic",2,500,0
"744","kinesthetic",2,-42,0
"745","kinesthetic",2,500,0
"746","kinesthetic",2,200,0
"747","kinesthetic",2,300,0
"748","kinesthetic",2,100,1
"749","kinesthetic",2,-56,0
"750","kinesthetic",2,-84,0
"751","kinesthetic",2,100,1
"752","kinesthetic",2,600,0
"753","kinesthetic",2,-28,1
"754","kinesthetic",2,-84,0
"755","kinesthetic",2,-42,0
"756","kinesthetic",2,500,0
"757","kinesthetic",2,0,1
"758","kinesthetic",2,-84,0
"759","kinesthetic",2,0,1
"760","kinesthetic",2,-56,0
"761","kinesthetic",2,200,0
"762","kinesthetic",2,200,0
"763","kinesthetic",2,-42,0
"764","kinesthetic",2,200,0
"765","kinesthetic",2,-70,0
"766","kinesthetic",2,400,0
"767","kinesthetic",2,600,0
"768","kinesthetic",2,100,0
"769","kinesthetic",2,-14,1
"770","kinesthetic",2,400,0
"771","kinesthetic",2,0,1
"772","kinesthetic",2,-84,0
"773","kinesthetic",2,200,0
"774","visual",1,100,0
"775","visual",1,-84,0
"776","visual",1,-70,0
"777","visual",1,0,1
"778","visual",1,0,1
"779","visual",1,-84,0
"780","visual",1,300,0
"781","visual",1,300,0
"782","visual",1,-28,1
"783","visual",1,-56,0
"784","visual",1,-28,0
"785","visual",1,-28,1
"786","visual",1,200,0
"787","visual",1,-84,0
"788","visual",1,-56,0
"789","visual",1,500,0
"790","visual",1,-56,0
"791","visual",1,-42,0
"792","visual",1,-42,0
"793","visual",1,-84,0
"794","visual",1,-14,1
"795","visual",1,300,0
"796","visual",1,-70,0
"797","visual",1,-28,1
"798","visual",1,400,0
"799","visual",1,200,0
"800","visual",1,500,0
"801","visual",1,-84,0
"802","visual",1,300,0
"803","visual",1,-84,0
"804","visual",1,0,1
"805","visual",1,200,0
"806","visual",1,0,1
"807","visual",1,100,0
"808","visual",1,500,0
"809","visual",1,400,0
"810","visual",1,-14,1
"811","visual",1,400,0
"812","visual",1,-70,0
"813","visual",1,-42,0
"814","visual",1,0,1
"815","visual",1,0,1
"816","visual",1,200,0
"817","visual",1,0,1
"818","visual",1,500,0
"819","visual",1,600,0
"820","visual",1,400,0
"821","visual",1,200,0
"822","visual",1,-70,0
"823","visual",1,-56,0
"824","visual",1,200,0
"825","visual",1,600,0
"826","visual",1,200,0
"827","visual",1,600,0
"828","visual",1,600,0
"829","visual",1,500,0
"830","visual",1,-84,0
"831","visual",1,100,0
"832","visual",1,100,0
"833","visual",1,-84,0
"834","visual",1,-70,0
"835","visual",1,300,0
"836","visual",1,300,0
"837","visual",1,-28,1
"838","visual",1,600,0
"839","visual",1,-56,0
"840","visual",1,-84,0
"841","visual",1,-28,0
"842","visual",1,-14,1
"843","visual",1,500,0
"844","visual",1,-42,0
"845","visual",1,100,1
"846","visual",1,-70,0
"847","visual",1,-56,0
"848","visual",1,200,0
"849","visual",1,-42,0
"850","visual",1,-42,0
"851","visual",1,400,0
"852","visual",1,-14,1
"853","visual",1,600,0
"854","visual",1,-28,0
"855","visual",1,-28,1
"856","visual",1,-84,0
"857","visual",1,100,1
"858","visual",1,-70,0
"859","visual",1,-70,0
"860","visual",1,-14,1
"861","visual",1,100,0
"862","visual",1,500,0
"863","visual",1,200,0
"864","visual",1,-56,0
"865","visual",1,-42,0
"866","visual",1,400,0
"867","visual",1,300,0
"868","visual",1,-70,0
"869","visual",1,300,0
"870","visual",1,600,0
"871","visual",1,-56,0
"872","visual",1,400,0
"873","visual",1,-84,0
"874","visual",1,-14,1
"875","visual",1,-28,0
"876","visual",1,100,1
"877","visual",1,-84,0
"878","visual",1,600,0
"879","visual",1,100,0
"880","visual",1,600,0
"881","visual",1,500,0
"882","visual",1,100,0
"883","visual",1,400,0
"884","visual",1,0,1
"885","visual",1,600,0
"886","visual",1,-42,0
"887","visual",1,400,0
"888","visual",1,600,0
"889","visual",1,-42,0
"890","visual",1,200,0
"891","visual",1,-56,0
"892","visual",1,500,0
"893","visual",1,-70,0
"894","visual",1,500,0
"895","visual",1,-28,1
"896","visual",1,300,0
"897","visual",1,-14,1
"898","visual",1,0,1
"899","visual",1,-28,0
"900","visual",1,0,1
"901","visual",1,-42,0
"902","visual",1,-56,0
"903","visual",1,300,0
"904","visual",1,200,0
"905","visual",1,500,0
"906","visual",1,100,0
"907","visual",1,500,0
"908","visual",1,-28,1
"909","visual",1,300,0
"910","visual",1,300,0
"911","visual",1,-14,1
"912","visual",1,-14,1
"913","visual",1,-70,0
"914","visual",1,-70,0
"915","visual",1,0,1
"916","visual",1,0,1
"917","visual",1,-14,1
"918","visual",1,-14,1
"919","visual",1,400,0
"920","visual",1,400,0
"921","visual",1,600,0
"922","visual",1,-56,0
"923","visual",1,-14,0
"924","visual",1,200,0
"925","visual",1,100,0
"926","visual",1,-42,0
"927","visual",1,-56,0
"928","visual",1,-42,0
"929","visual",1,400,0
"930","visual",1,400,0
"931","visual",1,300,0
"932","visual",1,400,0
"933","visual",1,500,0
"934","visual",1,400,0
"935","visual",1,600,0
"936","visual",1,-28,0
"937","visual",1,-56,0
"938","visual",1,0,0
"939","visual",1,-56,0
"940","visual",1,600,0
"941","visual",1,-70,1
"942","visual",1,-56,1
"943","visual",1,-70,0
"944","visual",1,-56,1
"945","visual",1,100,0
"946","visual",1,200,0
"947","visual",1,300,0
"948","visual",1,0,1
"949","visual",1,200,0
"950","visual",1,100,0
"951","visual",1,-84,0
"952","visual",1,600,0
"953","visual",1,500,0
"954","visual",1,-14,0
"955","visual",1,400,0
"956","visual",1,400,0
"957","visual",1,-84,0
"958","visual",1,-14,0
"959","visual",1,-42,0
"960","visual",1,-84,0
"961","visual",1,500,0
"962","visual",1,200,0
"963","visual",1,-14,0
"964","visual",1,-56,0
"965","visual",1,-42,0
"966","visual",1,600,0
"967","visual",1,500,0
"968","visual",1,0,1
"969","visual",1,500,0
"970","visual",1,500,0
"971","visual",1,0,1
"972","visual",1,-28,1
