"offset","medianCausality","condition","study","medianCausalityScaled","signals","modelPrediction","modelPredictionLogit","rmse","intercept","slope"
0,7.925558313,"vision","GT 2",7.925558313,1,0.7563,1.03745682105532,0.765635490110163,5.76724059208462,1.02424926631243
50,6.838709677,"vision","GT 2",6.838709677,1,0.648,0.565135667964359,0.765635490110163,5.76724059208462,1.02424926631243
100,5.111662531,"vision","GT 2",5.111662531,1,0.577,0.288422945023507,0.765635490110163,5.76724059208462,1.02424926631243
150,3.741935484,"vision","GT 2",3.741935484,1,0.4288,-0.266428916488231,0.765635490110163,5.76724059208462,1.02424926631243
200,3.563275434,"vision","GT 2",3.563275434,1,0.2831,-0.855487488553404,0.765635490110163,5.76724059208462,1.02424926631243
250,2.431761787,"vision","GT 2",2.431761787,1,0.1513,-1.54569440534672,0.765635490110163,5.76724059208462,1.02424926631243
300,2,"vision","GT 2",2,1,0.0835,-2.06390380705218,0.765635490110163,5.76724059208462,1.02424926631243
350,2.387096774,"vision","GT 2",2.387096774,1,0.0412,-2.53683375676801,0.765635490110163,5.76724059208462,1.02424926631243
400,2.133995037,"vision","GT 2",2.133995037,1,0.0174,-2.91982909166284,0.765635490110163,5.76724059208462,1.02424926631243
0,8.193548387,"sound","GT 2",8.193548387,2,0.9352,2.25099120360295,0.765635490110163,5.76724059208462,1.02424926631243
50,7.657568238,"sound","GT 2",7.657568238,2,0.8653,1.65621308828011,0.765635490110163,5.76724059208462,1.02424926631243
100,7.062034739,"sound","GT 2",7.062034739,2,0.7552,1.03216804175013,0.765635490110163,5.76724059208462,1.02424926631243
150,6.124069479,"sound","GT 2",6.124069479,2,0.6393,0.530282507731616,0.765635490110163,5.76724059208462,1.02424926631243
200,5.394540943,"sound","GT 2",5.394540943,2,0.4384,-0.23016271619205,0.765635490110163,5.76724059208462,1.02424926631243
250,5.781637717,"sound","GT 2",5.781637717,2,0.347,-0.585317312831583,0.765635490110163,5.76724059208462,1.02424926631243
300,4.441687345,"sound","GT 2",4.441687345,2,0.1699,-1.4305885364535,0.765635490110163,5.76724059208462,1.02424926631243
350,4.307692308,"sound","GT 2",4.307692308,2,0.0786,-2.1103180379871,0.765635490110163,5.76724059208462,1.02424926631243
400,3.667493797,"sound","GT 2",3.667493797,2,0.0251,-2.78130170356099,0.765635490110163,5.76724059208462,1.02424926631243
0,8.1191067,"blink","GT 2",8.1191067,2,0.9176,2.07417832436377,0.765635490110163,5.76724059208462,1.02424926631243
50,7.568238213,"blink","GT 2",7.568238213,2,0.811,1.32029029505492,0.765635490110163,5.76724059208462,1.02424926631243
100,7.240694789,"blink","GT 2",7.240694789,2,0.751,1.01209528689205,0.765635490110163,5.76724059208462,1.02424926631243
150,6.124069479,"blink","GT 2",6.124069479,2,0.6649,0.633828255484069,0.765635490110163,5.76724059208462,1.02424926631243
200,6.049627792,"blink","GT 2",6.049627792,2,0.4535,-0.173413273122862,0.765635490110163,5.76724059208462,1.02424926631243
250,6.109181141,"blink","GT 2",6.109181141,2,0.3354,-0.63259660002381,0.765635490110163,5.76724059208462,1.02424926631243
300,4.47146402,"blink","GT 2",4.47146402,2,0.1941,-1.29200876842109,0.765635490110163,5.76724059208462,1.02424926631243
350,4.53101737,"blink","GT 2",4.53101737,2,0.0868,-2.03356118539777,0.765635490110163,5.76724059208462,1.02424926631243
400,3.667493797,"blink","GT 2",3.667493797,2,0.0404,-2.54783599092812,0.765635490110163,5.76724059208462,1.02424926631243
0,8.625310174,"soundBlink","GT 2",8.625310174,3,1,3.31678003984957,0.765635490110163,5.76724059208462,1.02424926631243
50,8,"soundBlink","GT 2",8,3,0.9516,2.44218400305475,0.765635490110163,5.76724059208462,1.02424926631243
100,7.7617866,"soundBlink","GT 2",7.7617866,3,0.9155,2.05463378291732,0.765635490110163,5.76724059208462,1.02424926631243
150,6.913151365,"soundBlink","GT 2",6.913151365,3,0.8306,1.43357672961239,0.765635490110163,5.76724059208462,1.02424926631243
200,6.749379653,"soundBlink","GT 2",6.749379653,3,0.7772,1.14063387387374,0.765635490110163,5.76724059208462,1.02424926631243
250,6.302729529,"soundBlink","GT 2",6.302729529,3,0.4998,-0.00074400003431928,0.765635490110163,5.76724059208462,1.02424926631243
300,5.692307692,"soundBlink","GT 2",5.692307692,3,0.3859,-0.431002371201153,0.765635490110163,5.76724059208462,1.02424926631243
350,4.784119107,"soundBlink","GT 2",4.784119107,3,0.2339,-1.08518001051934,0.765635490110163,5.76724059208462,1.02424926631243
400,5.215880893,"soundBlink","GT 2",5.215880893,3,0.0817,-2.08075959212427,0.765635490110163,5.76724059208462,1.02424926631243
